EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150430,BMO,20150430,64.28,64.15,62.49,63.11
20150205,BMO,20150205,64.07754,64.2369,63.75879,63.6791
20141030,BMO,20141030,56.10641,55.75916,56.93982,57.93198
20140729,BMO,20140729,55.91171,55.88207,55.67458,56.33656
20140501,BMO,20140501,51.93711,52.55682,52.73388,53.47162
20140204,BMO,20140204,49.65282,47.86061,49.89766,50.31878
20131029,BMO,20131029,46.25775,45.77021,48.04215,47.57411
20130730,BMO,20130730,43.03721,42.96928,41.7854,41.88244
20130430,BMO,20130430,39.38725,39.27138,40.60392,40.6522
20130212,BMO,20130212,36.11858,36.06098,35.04328,35.71534
20121105,AMC,20121106,32.00519,31.77604,33.16051,32.98864
20120717,AMC,20120718,32.545,32.47858,31.43487,30.93198
20120426,BMO,20120426,30.76755,31.18243,31.71047,31.95563
20120213,AMC,20120214,26.84624,27.17421,29.08578,29.46059
20111101,BMO,20111101,25.3248,24.48314,23.19258,22.99619
20110719,AMC,20110720,27.07662,27.7953,28.43931,28.67265
20110503,BMO,20110503,30.85415,30.69573,31.25485,30.78892
20110208,BMO,20110208,28.80408,28.80408,29.65071,29.47394
20101026,BMO,20101026,26.56057,26.76488,26.20766,25.45542
20100720,AMC,20100721,25.61337,25.86366,25.68753,25.98417
20100427,AMC,20100428,23.73419,23.16975,24.37265,24.73352
20100204,AMC,20100205,22.15033,21.73484,21.27319,21.16239
20091021,AMC,20091022,22.58277,22.87761,21.78118,21.02566
20090728,AMC,20090729,19.81552,19.67759,21.44306,21.62696
20090428,AMC,20090429,17.29014,17.1709,16.83152,16.37289
20090210,AMC,20090211,16.14962,15.12541,16.6983,16.85376
20081027,AMC,20081028,12.18965,11.36911,14.46894,13.08313
20080805,AMC,20080806,17.25519,17.25519,20.46609,20.37513
20080424,AMC,20080425,19.21955,19.44727,18.40988,18.72868
20080214,BMO,20080214,21.51921,21.57985,20.51855,21.2463
20071024,AMC,20071025,23.77727,23.5501,23.33302,22.99479
20070724,AMC,20070725,28.37978,28.1579,27.63347,26.43837
20070425,AMC,20070426,24.44847,24.46862,25.58702,25.7583
20070206,AMC,20070207,21.71414,21.75439,22.74575,22.65517
20061025,AMC,20061026,19.78753,19.94836,20.81284,20.52134
20060725,AMC,20060726,17.55722,17.54217,18.33018,17.92363
20060426,AMC,20060427,19.40202,19.44212,19.03613,19.04616
20060208,AMC,20060209,18.96725,18.80707,18.57179,18.63186
20060127,BMO,20060127,20.09286,20.19806,20.01968,19.83215
20051026,BMO,20051026,17.0848,17.17616,17.06195,16.7696
20051025,BMO,20051025,17.08023,17.0848,17.17616,17.06195
20050727,BMO,20050727,16.07337,16.15093,15.87719,15.94106
20050721,BMO,20050721,17.30978,17.41016,16.92198,16.65736
20050426,BMO,20050426,15.56021,16.43048,16.36669,16.36213
20050421,BMO,20050421,15.21392,14.9542,15.49186,15.56021
20050215,BMO,20050215,15.98797,16.06987,16.11082,16.10172
20050126,BMO,20050126,15.73773,15.92427,16.19271,15.75593
20041021,BMO,20041021,16.35164,16.49249,16.60607,15.90639
20040909,NaN,20040910,17.72285,17.66841,17.68656,17.76823
20040804,NaN,20040805,16.96966,17.04225,16.77001,16.49323
20040722,BMO,20040722,17.39617,16.84715,16.81085,16.82446
20040429,BMO,20040429,15.96887,15.98246,16.19091,16.21357
20040421,BMO,20040421,15.83746,15.6426,15.80574,15.94168
20040316,NaN,20040317,15.11732,15.14899,15.15804,15.24401
20040128,BMO,20040128,15.14447,14.99063,14.48385,14.22594
20040127,AMC,20040128,15.14447,14.99063,14.48385,14.22594
20031112,BMO,20031112,15.27033,14.89535,15.19353,15.27485
20031023,BMO,20031023,14.39387,14.18605,14.38935,14.4029
20030811,BMO,20030811,12.35051,12.31443,12.24676,12.36404
20030724,BMO,20030724,12.46779,12.40915,11.98514,11.91748
20030723,BMO,20030723,12.58056,12.46779,12.40915,11.98514
20030507,AMC,20030508,11.7596,11.72802,11.50249,11.34912
20030424,BMO,20030424,11.74156,12.02122,11.54759,11.36265
20030423,BMO,20030423,11.51151,11.74156,12.02122,11.54759
20030305,AMC,20030306,10.69055,10.76723,10.79429,10.78527
20030129,BMO,20030129,10.96119,11.26793,11.34461,11.24988
20030124,BMO,20030124,10.73565,10.82587,10.84842,10.96119
20021104,BMO,20021104,9.47264,9.86507,9.90116,9.95529
20021023,BMO,20021023,11.06945,10.56424,10.42441,10.1267
20021022,BMO,20021022,10.31615,11.06945,10.56424,10.42441
20020805,BMO,20020805,14.50666,13.96086,13.49625,13.62255
20020724,BMO,20020724,13.81651,13.3068,13.71277,14.08716
20020723,BMO,20020723,13.88418,13.81651,13.3068,13.71277
20020506,BMO,20020506,17.49731,17.48378,17.48829,18.34083
20020425,BMO,20020425,19.30613,18.69718,18.34534,17.97094
20020423,BMO,20020423,18.9994,19.28809,19.30613,18.69718
20020225,BMO,20020225,15.61632,15.72908,15.72006,15.67496
20020213,BMO,20020213,15.83283,15.76968,15.99522,15.84186
20020122,BMO,20020122,15.84637,15.72006,15.38175,15.32312
20011105,BMO,20011105,12.57605,12.53094,12.64371,12.60312
20011024,BMO,20011024,13.31131,13.46467,13.54136,13.53234
20011018,BMO,20011018,12.94594,12.92789,13.28875,13.26169
