EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150429,AMC,20150430,32.26,31.36,30.9,31.18
20150217,AMC,20150218,35.22297,35.28255,35.35206,34.66687
20141028,AMC,20141029,29.63806,29.83343,29.64783,30.08742
20140729,AMC,20140730,27.67508,27.72351,27.5879,27.34573
20140430,AMC,20140501,25.96263,26.06832,26.12597,26.10676
20140212,AMC,20140213,24.73314,24.71409,25.00933,25.30456
20131023,AMC,20131024,24.8954,25.3767,25.707,25.9618
20130729,AMC,20130730,24.47932,24.24538,24.65711,24.12373
20130423,AMC,20130424,25.83413,26.05675,26.14952,26.25155
20130205,AMC,20130206,24.45245,24.63659,24.78389,24.655
20121023,AMC,20121024,23.33516,23.09751,23.42656,23.45398
20120724,AMC,20120725,21.04451,21.02636,21.05358,21.12618
20120424,AMC,20120425,19.92277,20.23786,20.60697,20.76901
20120207,AMC,20120208,19.74721,19.57751,19.70255,19.49713
20111025,AMC,20111026,17.54535,17.27093,17.35945,18.22698
20110726,AMC,20110727,18.90355,18.80706,18.37724,18.40355
20110426,AMC,20110427,17.64071,17.86675,17.96239,18.2493
20110208,AMC,20110209,15.9643,15.84374,16.00735,16.07623
20101026,AMC,20101027,16.83012,16.64255,16.40382,16.21626
20100727,AMC,20100728,15.50478,15.41188,15.69901,15.67368
20100428,NaN,20100429,15.5965,15.83889,16.54099,15.94755
20100209,AMC,20100210,12.62862,12.61207,12.71965,13.00102
20091028,NaN,20091029,13.13649,13.19381,13.51322,13.02183
20090729,AMC,20090730,10.6415,10.69005,11.19178,11.08658
