EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150317,AMC,20150318,43.25836,42.72024,43.97585,44.00574
20141217,AMC,20141218,40.37847,40.90519,45.06925,45.71523
20140918,AMC,20140919,40.75916,41.16536,39.43156,39.2136
20140619,AMC,20140620,42.29058,41.99422,40.32472,40.60133
20140318,AMC,20140319,37.64404,38.2547,37.96907,37.79178
20131218,AMC,20131219,33.01817,33.97052,35.93413,35.70832
20130918,AMC,20130919,32.53701,33.13375,33.15332,33.30984
20130620,AMC,20130621,33.222,32.36441,29.37258,29.40182
20130320,AMC,20130321,34.78127,34.85923,31.47758,31.16573
20121218,AMC,20121219,31.49707,32.04282,33.222,33.07582
20120920,AMC,20120921,31.70537,31.20242,31.40553,31.16373
20120621,AMC,20120622,27.49909,26.84274,27.02614,26.65936
20120618,AMC,20120619,26.73657,26.17675,26.98753,27.49909
20120320,AMC,20120321,28.66662,28.99413,28.32948,27.57813
20111220,AMC,20111221,27.49747,28.03569,24.7679,24.69102
20110920,AMC,20110921,27.83587,27.19321,28.33466,27.18362
20110623,AMC,20110624,30.83152,31.08046,29.81656,30.23786
20110324,AMC,20110325,30.02129,30.71901,31.19691,31.12044
20101216,AMC,20101217,29.09523,28.8853,30.02086,30.22125
20100916,AMC,20100917,24.51743,24.15548,26.17479,26.18431
20100624,AMC,20100625,21.55656,21.11934,21.53755,21.33795
20100325,AMC,20100326,24.43714,24.70276,24.37073,24.2569
20091217,AMC,20091218,21.88849,21.66127,23.04351,23.12871
20090916,AMC,20090917,21.40142,20.90086,20.32474,20.41919
20090623,AMC,20090624,18.81481,18.72059,20.03019,20.37878
20090318,AMC,20090319,14.47156,14.87563,16.32279,16.06907
20081218,AMC,20081219,15.73077,15.60861,16.70807,16.46375
20080918,AMC,20080919,17.00878,17.61959,18.86001,18.5593
20080625,AMC,20080626,20.88979,21.19049,20.12862,20.00646
20080326,AMC,20080327,19.80912,19.67756,18.25859,18.20221
20071219,AMC,20071220,19.96887,19.50841,20.76762,21.34085
20070920,AMC,20070921,19.58359,19.77153,20.65486,20.47631
20070626,AMC,20070627,18.30558,18.00487,18.50292,18.65327
20070320,NaN,20070321,16.14424,16.49194,17.07456,17.37527
20061218,AMC,20061219,16.6141,16.83023,16.06907,16.06907
20060919,AMC,20060920,15.27031,15.15755,16.84903,16.98998
20060622,AMC,20060623,13.65401,13.46607,14.0017,13.78557
20060615,AMC,20060616,12.39479,12.87405,13.33451,13.42848
20060320,AMC,20060321,12.78008,12.89284,12.79887,13.14656
20051215,AMC,20051216,12.0377,12.0565,11.92494,11.57725
20050922,AMC,20050923,12.48877,12.7049,11.69941,11.65242
20050629,BMO,20050629,11.78398,12.0565,12.75188,12.40419
20050322,AMC,20050323,11.88735,11.737,11.75579,11.65242
20040914,AMC,20040915,9.97974,9.91396,10.64693,10.55296
20040615,AMC,20040616,10.85367,11.00402,10.66573,10.46839
20040311,AMC,20040312,11.66182,11.51147,11.33292,10.95704
20031215,AMC,20031216,12.0565,11.93434,12.32901,12.45118
20030912,BMO,20030912,12.07529,12.19746,11.79338,11.69941
20030612,AMC,20030613,12.46997,12.52635,12.66731,12.82706
20030318,AMC,20030319,11.60544,11.51147,10.62814,10.80668
20021218,AMC,20021219,10.35562,9.98913,10.33683,10.0925
20020917,AMC,20020918,8.72052,8.48559,7.8184,7.62106
20020618,AMC,20020619,8.64535,8.43861,8.26946,7.94996
20020314,AMC,20020315,13.05259,12.62972,11.84037,11.84037
20011213,AMC,20011214,14.18964,13.78557,13.6916,13.89833
20010618,AMC,20010619,14.09567,13.94532,15.74957,16.46375
20010315,AMC,20010316,15.09412,13.80201,13.21469,14.5068
20001214,AMC,20001215,26.66431,25.84207,26.84051,30.07077
20000914,AMC,20000915,38.44007,39.90837,36.79558,35.92929
20000620,AMC,20000621,40.4076,40.42962,40.49569,38.29324
20000314,AMC,20000315,37.00114,36.17889,36.94241,38.49881
19991214,AMC,19991215,18.75018,18.07477,21.23161,21.04072
19990914,AMC,19990915,10.74795,10.67454,10.02849,9.91102
19990615,AMC,19990616,6.21091,5.90256,7.73794,8.19311
