EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150505,AMC,20150506,28.91,28.12,28.24,28.63
20150210,AMC,20150211,28.57429,28.78279,28.4055,29.22957
20141110,AMC,20141111,27.99104,28.11917,27.43911,27.32084
20140731,AMC,20140801,28.36032,27.86157,27.52907,27.28458
20140506,AMC,20140507,27.19096,27.20067,26.86078,27.10356
20140211,AMC,20140212,25.01339,24.98447,25.3122,25.47606
20131105,AMC,20131106,24.30651,23.90507,23.42716,23.01616
20130806,AMC,20130807,23.45927,23.36441,23.47824,23.42132
20130507,AMC,20130508,24.58742,24.93584,25.46319,25.38785
20130212,AMC,20130213,22.18473,22.4278,22.25018,21.88557
20121106,AMC,20121107,21.79005,21.94775,21.47466,21.21492
20120731,AMC,20120801,21.57409,21.66625,21.55566,21.85057
20120501,AMC,20120502,21.26965,21.55337,21.33372,21.11407
20120207,AMC,20120208,19.4297,19.33877,19.49334,19.23876
20111101,AMC,20111102,17.60557,17.01871,17.06385,17.3618
20110802,AMC,20110803,17.74549,17.33323,16.99265,15.95302
20110503,AMC,20110504,18.30316,18.19633,17.98267,17.76012
20110208,AMC,20110209,16.24954,16.24069,16.32924,16.73658
20101102,AMC,20101103,15.95933,15.73926,15.50159,15.80088
20100803,AMC,20100804,14.43274,14.27519,14.45024,14.32771
20100503,AMC,20100504,14.55659,14.96529,14.40877,14.3479
20100209,AMC,20100210,11.4478,11.2318,11.30956,11.30956
20091103,AMC,20091104,10.0405,10.1349,10.15206,10.52107
20090804,AMC,20090805,8.89519,9.73789,10.21457,9.77194
20090505,AMC,20090506,7.81572,7.59698,7.80731,7.49602
