EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150429,AMC,20150430,69.38,68.26,63.58,64.66
20150128,AMC,20150129,63.34,62.03,61.51,60.96
20141029,AMC,20141030,64.01,63.56,53.15,54.31
20140806,AMC,20140807,54.19,54.33,55.79,56.2
20140429,AMC,20140430,45.01,45.48,45.35,44.96
20140129,AMC,20140130,48.4,48.03,49.39,48.81
20131029,AMC,20131030,54.45,54.85,46.53,45.71
20130807,AMC,20130808,51.08,50.44,50.19,50.48
20130430,AMC,20130501,40.65,40.95,43.05,43.6
20130129,AMC,20130130,33.96,33.86,32.83,33.85
20120808,AMC,20120809,28.11,27.71,27.0,27.01
20120430,AMC,20120501,27.42,26.94,25.38,25.43
20120130,AMC,20120131,20.65,20.46,24.1,24.47
20111031,AMC,20111101,22.31,22.03,20.31,20.39
20110809,AMC,20110810,15.69,17.19,18.44,19.13
20110502,AMC,20110503,27.76,27.02,22.96,23.56
20110131,AMC,20110201,23.09,23.21,20.92,20.61
20101101,AMC,20101102,21.51,20.6,21.2,21.86
20100809,AMC,20100810,21.71,22.04,20.87,20.41
20100427,AMC,20100428,23.98,23.94,24.47,25.16
20100125,AMC,20100126,17.33,17.54,19.43,19.18
20091027,AMC,20091028,13.85,13.62,12.48,12.85
20090810,AMC,20090811,14.41,14.67,12.14,12.57
20090427,AMC,20090428,8.22,8.08,9.23,9.92
20090126,AMC,20090127,7.64,7.36,9.58,9.48
20090112,AMC,20090113,8.91,9.11,8.83,8.23
20081027,AMC,20081028,14.97,13.7,8.5,9.89
20080806,AMC,20080807,28.83,29.02,32.64,35.81
20080423,AMC,20080424,22.42,24.22,25.15,24.79
20080123,AMC,20080124,25.665,25.13,28.815,28.015
20071024,AMC,20071025,22.775,22.115,22.665,23.45
20070806,AMC,20070807,20.36,20.785,21.06,21.285
20070425,AMC,20070426,19.195,19.465,20.49,20.03
20070124,AMC,20070125,15.215,15.35,17.15,17.155
20061025,AMC,20061026,17.33,16.745,14.625,15.15
20060807,AMC,20060808,14.43,14.17,15.135,14.895
20060426,AMC,20060427,13.21,13.46,14.44,14.755
20060124,AMC,20060125,10.625,10.685,12.435,12.68
20051019,AMC,20051020,10.705,11.0,10.62,10.52
20050801,AMC,20050802,9.935,10.04,10.025,10.185
20050421,AMC,20050422,8.9,8.99,8.965,8.64
20050120,BMO,20050120,10.41,10.4,11.325,11.49
20041020,BMO,20041020,10.07,9.625,9.475,9.335
20040803,BMO,20040803,9.595,9.695,9.255,9.28
20040422,BMO,20040422,8.745,9.015,9.37,9.335
20040122,BMO,20040122,8.91,8.99,7.935,8.33
20031021,BMO,20031021,8.415,8.47,8.49,8.25
20030807,BMO,20030807,7.21,7.25,7.735,7.85
20030423,BMO,20030423,6.105,6.33,6.31,6.1
20030122,BMO,20030122,5.55,5.475,5.75,6.835
20021023,BMO,20021023,5.2,4.895,6.005,5.5
20020815,BMO,20020815,5.505,5.53,4.65,4.91
20020425,BMO,20020425,7.425,7.5,7.5,7.465
20020124,BMO,20020124,6.965,6.8,7.025,6.985
20011025,BMO,20011025,6.225,6.625,7.31,7.335
20010816,BMO,20010816,7.525,7.16,7.525,7.18
20010426,BMO,20010426,6.745,7.05,7.0,6.995
20010125,BMO,20010125,7.17188,7.15625,6.625,7.03125
20001026,BMO,20001026,4.23438,4.46875,5.09375,4.875
20000823,BMO,20000823,5.25,5.125,4.6875,4.9375
20000427,BMO,20000427,4.46875,4.45312,4.5,4.5
20000125,AMC,20000126,7.25,7.46875,7.4375,7.09375
19991026,BMO,19991026,4.0,4.01562,4.39062,4.75
19990817,BMO,19990817,4.90625,4.78125,5.125,5.0625
