EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150423,BMO,20150423,21.33099,21.5105,21.73986,21.74983
20150219,BMO,20150219,23.080779999999997,22.9614,22.16551,22.49381
20141023,BMO,20141023,17.65493,17.3572,20.40389,19.84815
20140724,BMO,20140724,22.62903,22.73796,22.916220000000003,23.40148
20140425,BMO,20140425,22.87276,23.07036,20.97575,20.78803
20140220,BMO,20140220,20.080560000000002,19.843970000000002,21.01706,21.02692
20131029,BMO,20131029,22.43854,22.26154,18.957710000000002,18.633229999999998
20130725,BMO,20130725,20.57217,20.27786,21.3668,21.38642
20130425,BMO,20130425,16.36579,16.923379999999998,16.4734,16.42449
20130221,BMO,20130221,16.75879,16.21252,16.046689999999998,16.05644
20121026,BMO,20121026,12.45251,12.84135,12.520560000000001,12.79274
20120726,BMO,20120726,10.95359,10.963280000000001,12.58065,13.171429999999999
20120425,BMO,20120425,13.278139999999999,13.413229999999999,14.67736,14.23347
20120221,BMO,20120221,15.9179,15.821720000000001,15.35043,15.186929999999998
20111027,BMO,20111027,13.17675,13.39797,14.407860000000001,14.50404
20110728,BMO,20110728,17.023979999999998,16.63925,15.754389999999999,16.03332
20110427,BMO,20110427,17.629920000000002,17.79342,17.86075,17.56259
20110223,NaN,20110224,17.01436,17.120160000000002,17.7838,18.26471
20101028,NaN,20101029,13.157520000000002,13.65765,13.6288,13.561470000000002
20100729,NaN,20100730,11.11849,11.15696,11.426260000000001,12.04182
20100429,BMO,20100429,12.28227,12.061060000000001,12.9363,12.849739999999999
20100224,BMO,20100224,10.47407,10.23362,10.522160000000001,10.62796
20091103,NaN,20091104,5.57848,5.82855,5.7131300000000005,5.78046
20090806,BMO,20090806,4.4724,4.49164,3.84723,4.56858
20090507,BMO,20090507,1.4138600000000001,1.90438,1.62545,2.15445
20090316,NaN,20090317,0.29816,0.39434,0.47129,0.49051999999999996
20081106,NaN,20081107,1.81781,1.63507,1.5388899999999999,1.33691
20080807,BMO,20080807,5.530390000000001,5.76122,5.61695,6.1555599999999995
20080514,NaN,20080515,11.78213,11.69557,11.762889999999999,11.66671
20080319,NaN,20080320,8.839,8.57932,8.44466,8.89671
