EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150430,BMO,20150430,68.77,68.51,67.28,67.68
20150129,BMO,20150129,65.29555,64.75854,68.64684,67.14522
20141024,BMO,20141024,64.61832,64.35123,64.648,65.39984
20140731,BMO,20140731,65.28024,65.0343,62.3684,62.90945
20140425,BMO,20140425,64.46334,65.01138,64.82543000000001,66.41084000000001
20140130,BMO,20140130,61.19769,59.95174,59.8544,59.60131
20131024,BMO,20131024,61.457269999999994,61.457269999999994,61.0409,61.58315
20130725,BMO,20130725,56.25447,56.312259999999995,57.419819999999994,58.02656999999999
20130425,NaN,20130426,56.44625,57.17397,56.968109999999996,57.150040000000004
20130131,BMO,20130131,52.79517,52.76661,51.11007,52.28583
20121025,BMO,20121025,50.42179,50.435990000000004,49.5083,49.16279
20120726,BMO,20120726,48.05418,48.12477,50.06859,50.44041
20120426,NaN,20120427,46.593,46.54153,46.03152,46.29354
20120126,BMO,20120126,41.03099,41.584270000000004,42.47231,42.030609999999996
20111027,BMO,20111027,41.56564,41.824329999999996,42.18927,42.13845
20110728,BMO,20110728,39.88414,39.24152,38.96151,38.732009999999995
20110428,BMO,20110428,36.73301,36.965579999999996,37.83659,38.46591
20110127,BMO,20110127,36.27617,36.22183,35.04009,34.858979999999995
20101028,BMO,20101028,34.38223,33.95499,33.694140000000004,34.68356
20100729,BMO,20100729,37.78183,37.45578,34.89203,35.27615
20100429,BMO,20100429,37.09686,37.72262,37.63386,37.3232
20100128,BMO,20100128,35.44907,35.45348,35.27707,35.294709999999995
20091029,BMO,20091029,34.14257,34.068020000000004,34.62062,34.48466
20090730,BMO,20090730,32.87064,33.07997,31.326759999999997,31.59279
20090430,BMO,20090430,25.56921,25.885679999999997,25.57788,26.618340000000003
20090129,BMO,20090129,26.77798,27.479490000000002,28.0691,27.991640000000004
20081030,BMO,20081030,25.62549,25.6597,27.468709999999998,26.84005
20080729,NaN,20080730,29.13397,31.509390000000003,31.857840000000003,31.56038
20080430,NaN,20080501,32.01425,29.868140000000004,30.73841,31.12708
20080131,BMO,20080131,31.11764,30.890690000000003,32.15153,31.69763
20071030,BMO,20071030,30.930529999999997,31.060190000000002,31.47845,31.9009
20070725,BMO,20070725,28.58503,28.406059999999997,28.99291,28.630809999999997
20070425,BMO,20070425,27.76247,28.1185,27.91978,27.55547
20070130,NaN,20070131,27.469179999999998,27.76153,28.123890000000003,28.04565
20061025,NaN,20061026,24.77959,25.47622,25.72619,25.94337
20060725,BMO,20060725,25.16967,25.30825,24.7213,24.23218
20060426,NaN,20060427,23.255689999999998,23.9045,24.103189999999998,23.97343
20060125,NaN,20060126,21.67336,22.43949,22.020129999999998,22.57658
20051101,BMO,20051101,21.31215,21.23996,20.99932,20.97125
20050727,NaN,20050728,20.639,20.7387,21.257170000000002,21.11359
20050427,BMO,20050427,20.4839,20.10714,20.11904,19.9961
20050127,NaN,20050128,19.67162,20.77982,20.37361,20.720660000000002
20041020,NaN,20041021,16.810670000000002,17.70469,17.99512,17.93625
20040721,NaN,20040722,22.00806,21.37837,21.0231,20.550720000000002
20040421,BMO,20040421,21.79417,21.91029,21.77095,21.930320000000002
20040203,NaN,20040204,19.48355,20.06798,20.80722,21.140079999999998
20031023,BMO,20031023,22.10086,22.2511,20.490579999999998,19.97437
20030722,NaN,20030723,21.50672,21.62132,21.590629999999997,21.4602
20030417,NaN,20030421,21.435660000000002,21.207420000000003,21.42425,21.79704
20030204,NaN,20030205,19.305410000000002,19.853189999999998,19.59071,19.56028
20021017,NaN,20021018,20.70617,21.046229999999998,21.416520000000002,21.88128
20020723,NaN,20020724,17.05508,17.76649,18.88871,19.11542
20020418,BMO,20020418,21.8917,21.6666,20.240920000000003,20.40975
20020205,BMO,20020205,21.441489999999998,21.13384,20.99502,20.773670000000003
20011018,BMO,20011018,21.33779,21.16628,21.47574,21.68453
20010723,BMO,20010723,20.58745,20.73982,20.30874,20.189429999999998
20010419,BMO,20010419,19.588739999999998,19.17377,19.47759,19.74806
20010201,NaN,20010202,22.2601,22.63061,22.526870000000002,22.174879999999998
20001024,BMO,20001024,18.64395,18.19461,19.60164,20.525370000000002
20000720,NaN,20000721,20.01699,20.33836,20.79747,20.62547
20000419,NaN,20000420,20.23633,20.39657,20.92308,21.53204
20000203,NaN,20000204,22.45683,21.9761,20.60259,20.64838
19991021,NaN,19991022,19.67355,21.03977,20.82349,20.572329999999997
19990721,BMO,19990721,18.13648,18.81745,18.31808,18.5578
19990421,BMO,19990421,17.38506,16.84177,18.17734,17.94354
