EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150416,BMO,20150416,36.24,37.06,37.16,36.3
20150116,BMO,20150116,30.70151,30.91145,31.70123,30.761490000000002
20141016,BMO,20141016,28.14323,27.23377,28.313129999999997,28.98273
20140717,BMO,20140717,29.262970000000003,28.75344,28.3638,29.3329
20140417,BMO,20140417,27.964609999999997,27.854740000000003,29.5526,29.21303
20140116,BMO,20140116,28.194909999999997,28.224859999999996,28.06512,28.873820000000002
20131017,BMO,20131017,22.216479999999997,22.40611,24.37226,24.701610000000002
20130718,BMO,20130718,22.53557,22.87475,23.443379999999998,23.74265
20130418,BMO,20130418,17.63831,17.33919,18.16676,18.60548
20130122,BMO,20130122,16.89134,16.68207,16.50269,16.71197
20121023,BMO,20121023,16.56159,16.52176,16.47196,16.57155
20121010,AMC,20121011,15.86447,15.854510000000001,16.8006,16.830479999999998
20120724,BMO,20120724,15.01891,14.95919,14.53121,14.53121
20120424,BMO,20120424,14.988560000000001,14.928889999999999,15.97321,15.93343
20120124,BMO,20120124,13.348310000000001,13.29861,13.795570000000001,14.62052
20111025,BMO,20111025,8.86629,9.19393,10.226510000000001,11.07045
20110726,BMO,20110726,13.654670000000001,13.783579999999999,12.891119999999999,11.92924
20110426,BMO,20110426,13.862779999999999,14.2195,14.625779999999999,15.378860000000001
20110125,BMO,20110125,14.73492,14.85375,15.0419,15.140920000000001
20101026,BMO,20101026,11.68666,11.558010000000001,12.092369999999999,11.68666
20100727,BMO,20100727,10.74751,10.48055,11.95376,12.45802
20100426,BMO,20100426,17.20952,16.86375,14.68046,14.46311
20100125,BMO,20100125,10.24744,9.87229,11.67892,13.297979999999999
20091026,BMO,20091026,18.98392,18.737379999999998,11.81441,9.51662
20090727,BMO,20090727,20.26765,20.26765,23.44187,23.79675
20090427,BMO,20090427,15.942910000000001,16.849429999999998,17.55888,18.73145
20090126,BMO,20090126,19.57281,19.39559,15.08327,15.03405
20081027,BMO,20081027,32.90146,33.57893,32.98001,32.764
20080729,BMO,20080729,28.52983,25.66901,28.34368,28.951109999999996
20080428,BMO,20080428,33.49109,32.56241,34.49797,33.87233
20080128,BMO,20080128,33.99544,31.791490000000003,33.19578,34.346509999999995
20071022,BMO,20071022,28.555529999999997,27.456120000000002,27.242070000000002,26.5221
20070723,BMO,20070723,26.820520000000002,26.57785,27.0535,25.62656
20070423,BMO,20070423,33.70477,33.995329999999996,31.95174,31.748340000000002
20070116,NaN,20070117,40.396679999999996,38.13524,36.39567,36.14441
20061016,NaN,20061017,43.144020000000005,42.236940000000004,41.407059999999994,41.01142
20060717,BMO,20060717,39.048559999999995,38.75945,40.4459,41.573409999999996
20060417,BMO,20060417,39.68707,39.70632,39.1674,40.370329999999996
20060117,BMO,20060117,36.177890000000005,36.5046,36.45655,35.61097
20051017,BMO,20051017,32.66966,33.71578,33.90773,33.2647
20050718,BMO,20050718,34.4665,34.90739,34.581520000000005,35.223690000000005
20050418,BMO,20050418,28.39965,29.38555,29.845,30.86918
20050118,BMO,20050118,28.368440000000003,28.43535,31.6182,30.691059999999997
20041018,BMO,20041018,25.52571,25.8122,28.342809999999997,29.50784
20040719,BMO,20040719,24.97703,25.99786,26.23637,26.46535
20040419,BMO,20040419,24.12068,24.32558,24.24457,25.01651
20040120,BMO,20040120,20.24786,20.46205,21.532989999999998,22.794320000000003
20031020,BMO,20031020,18.1986,18.0702,18.731189999999998,19.16393
20030721,BMO,20030721,15.313429999999999,15.03319,15.683910000000001,15.194679999999998
20030421,BMO,20030421,11.330960000000001,11.37365,11.38314,11.38314
20030121,BMO,20030121,12.298110000000001,12.32335,12.28706,12.04084
20021021,BMO,20021021,10.70223,11.194139999999999,11.35181,11.32974
20020722,BMO,20020722,8.32976,7.71565,8.21953,7.62747
20020422,NaN,20020423,8.77786,8.88798,8.88798,8.80932
20020122,BMO,20020122,6.991060000000001,6.9125,7.13245,7.116739999999999
20011022,BMO,20011022,5.04997,5.08134,5.09702,5.06565
20010723,BMO,20010723,5.457730000000001,5.332269999999999,5.39814,5.3354
20010423,NaN,20010424,4.38401,4.38401,4.38401,4.38401
20010122,BMO,20010122,3.39925,3.4187800000000004,3.71182,3.94625
20001023,BMO,20001023,3.74102,3.74102,3.66309,3.66309
20000724,BMO,20000724,4.62925,4.47851,4.47851,4.51254
20000424,NaN,20000425,3.89013,3.8123199999999997,3.6178199999999996,3.6178199999999996
20000131,NaN,20000201,4.50199,4.73485,4.579619999999999,4.8901
