EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150428,AMC,20150429,33.925,33.91,34.1,33.58
20150210,AMC,20150211,38.228840000000005,38.189170000000004,37.03884,36.70167
20141028,AMC,20141029,34.59983,34.68855,34.46182,34.905409999999996
20140805,AMC,20140806,33.95366,33.679520000000004,33.24873,33.356429999999996
20140429,AMC,20140430,34.900090000000006,34.93898,34.695879999999995,34.55001
20140211,AMC,20140212,32.66652,32.6955,32.00006,32.70516
20131029,AMC,20131030,33.570840000000004,33.16787,33.34057,33.43652
20130730,AMC,20130731,32.40552,32.25298,30.91824,31.15659
20130430,AMC,20130501,35.0097,35.16125,35.06653,35.00023
20130212,AMC,20130213,33.93888,34.33428,33.79766,33.449329999999996
20120731,AMC,20120801,29.96961,29.93243,30.341440000000002,30.73187
20120424,AMC,20120425,27.895220000000002,28.31718,28.858390000000004,29.05232
20120214,AMC,20120215,27.06048,26.60182,26.55596,26.69355
20111025,AMC,20111026,25.56105,25.09976,24.72622,25.79216
20110802,AMC,20110803,24.81936,23.84251,23.96914,22.630489999999998
20110426,AMC,20110427,23.50839,23.86498,24.46677,24.92485
20110222,AMC,20110223,23.9363,23.77583,23.232029999999998,23.321170000000002
20101026,AMC,20101027,21.236439999999998,21.122339999999998,21.39575,21.254179999999998
20100727,AMC,20100728,19.88469,19.77591,19.81014,19.65215
20100427,AMC,20100428,18.91872,18.349610000000002,18.22691,18.79691
20100223,AMC,20100224,17.98745,18.06074,18.31943,18.23751
20091027,AMC,20091028,15.64957,15.76784,15.8246,16.39647
20090728,AMC,20090729,15.05695,14.977970000000001,14.80901,15.13848
