EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150428,BMO,20150428,34.33,33.95,31.37,30.69
20150217,BMO,20150217,28.36748,28.8466,28.17783,29.84475
20141014,BMO,20141014,24.755,24.55576,25.34274,25.282970000000002
20140715,BMO,20140715,25.84006,26.287290000000002,25.48228,24.2499
20140429,BMO,20140429,26.355909999999998,26.27658,28.140729999999998,27.863090000000003
20140218,BMO,20140218,27.892770000000002,27.72457,25.18166,25.39934
20131008,BMO,20131008,28.93405,28.568609999999996,29.111829999999998,28.62787
20130709,BMO,20130709,27.37586,27.23788,28.277720000000002,28.548759999999998
20130416,BMO,20130416,22.77983,21.993129999999997,23.31084,22.88799
20130219,BMO,20130219,20.928829999999998,21.03671,22.07629,21.47314
20121016,BMO,20121016,21.01809,21.22343,21.85412,21.46789
20120710,BMO,20120710,18.70845,18.68894,19.97616,20.112679999999997
20120423,BMO,20120423,18.02765,18.4165,17.81865,17.75546
20120130,BMO,20120130,18.43786,18.39425,18.63654,18.94182
20111003,BMO,20111003,16.99426,16.05738,16.718989999999998,17.337139999999998
20110712,BMO,20110712,20.545820000000003,20.5025,19.121229999999997,19.50626
20110419,BMO,20110419,18.3413,18.038970000000003,18.81639,18.62443
20110201,BMO,20110201,14.88011,15.234060000000001,16.56375,16.47765
20101005,BMO,20101005,13.88122,13.73345,14.21491,14.391279999999998
20100715,BMO,20100715,12.84613,12.85563,12.78439,12.30949
20100420,BMO,20100420,14.613389999999999,14.78837,14.4857,14.707970000000001
20100203,BMO,20100203,12.509260000000001,12.791960000000001,11.79782,11.31252
20091007,BMO,20091007,11.52502,11.825339999999999,12.39315,13.0548
20090715,BMO,20090715,10.31552,10.282810000000001,10.507060000000001,10.58649
20090422,BMO,20090422,8.47414,8.78559,10.12899,9.891919999999999
20090204,BMO,20090204,8.25742,8.446660000000001,8.33588,7.929710000000001
20081001,BMO,20081001,11.912410000000001,12.14653,12.14194,12.05931
20080709,BMO,20080709,11.652989999999999,12.14672,10.53295,10.665519999999999
20080416,BMO,20080416,13.354529999999999,13.709679999999999,12.61236,12.99028
20080130,BMO,20080130,9.76132,9.8974,10.568710000000001,11.48043
20071003,BMO,20071003,12.63636,12.85781,12.7855,12.4827
20070711,BMO,20070711,12.679789999999999,12.4906,12.59871,13.017610000000001
20070418,BMO,20070418,13.42968,13.44315,13.55989,13.232120000000002
20070131,BMO,20070131,12.96641,13.01117,13.77205,13.243910000000001
20061004,BMO,20061004,12.55349,12.88385,12.651710000000001,12.37492
20060712,BMO,20060712,10.4979,10.35098,10.20406,10.640360000000001
20060419,BMO,20060419,9.08328,9.19865,10.609739999999999,10.8671
20060208,BMO,20060208,10.4226,10.35627,9.88312,9.59127
20051005,BMO,20051005,9.10951,9.1051,9.70035,9.89435
20050713,BMO,20050713,10.592939999999999,10.65887,9.99956,9.757810000000001
20050420,BMO,20050420,8.54785,8.72758,9.17031,9.420169999999999
20050202,BMO,20050202,9.156460000000001,9.322510000000001,9.90663,10.0115
20041006,BMO,20041006,7.725,7.6582,8.39294,8.44232
20040714,BMO,20040714,7.45878,7.45878,6.65642,6.67669
20040421,BMO,20040421,6.911560000000001,7.05892,7.59925,7.89686
20040204,BMO,20040204,6.05696,6.0454300000000005,5.9734,6.31918
20031001,BMO,20031001,5.54941,5.57527,5.67585,5.61838
20030709,BMO,20030709,5.68525,5.70817,5.59356,5.579219999999999
20030416,BMO,20030416,4.74605,4.91749,4.80034,4.82891
20030205,BMO,20030205,4.218030000000001,4.24366,4.49999,4.33765
20021004,BMO,20021004,4.14895,4.10351,4.3165,4.05523
20020710,BMO,20020710,4.53055,4.621169999999999,4.355,4.41729
20020416,BMO,20020416,5.43313,5.25241,5.28911,5.2637
20020206,BMO,20020206,4.05077,4.03951,4.11275,4.1409199999999995
20011001,BMO,20011001,3.75069,3.77598,3.52875,3.66641
20010711,BMO,20010711,4.35591,4.22706,4.80971,5.0254
20010417,BMO,20010417,4.05205,3.71671,4.3874,4.6249400000000005
20010207,BMO,20010207,4.31961,4.40321,4.61222,4.5704199999999995
20000928,BMO,20000928,2.50975,2.38859,2.48523,2.5895
20000712,BMO,20000712,3.32326,2.89055,3.08094,3.04632
20000413,BMO,20000413,3.3983,3.65705,3.31205,3.17404
20000204,BMO,20000204,2.5283900000000004,2.71759,3.31958,3.16478
