EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150507,BMO,20150507,465.5,470.01001,468.62,481.29001
20150210,BMO,20150210,406.85999,399.72,400.70999,398.98999
20141104,BMO,20141104,393.72,395.26001,372.39001,368.51001
20140805,BMO,20140805,324.31,325.44,333.20001,340.69
20140508,BMO,20140508,290.82999,286.66,281.20001,279.41
20140211,BMO,20140211,299.79001,304.0,326.51999,320.38
20131105,BMO,20131105,285.79001,281.70001,302.32001,288.26999
20130806,BMO,20130806,272.39001,270.98999,254.5,253.23
20130503,BMO,20130503,237.28999,248.63,266.16,262.75
20130214,BMO,20130214,168.17999,170.33,169.24001,164.92999
20121024,BMO,20121024,162.95,152.99001,162.69,155.23
20120725,BMO,20120725,122.5,121.44,128.84,135.64
20120426,BMO,20120426,122.54,127.11,138.60001,140.00999
20120216,BMO,20120216,110.1,108.64,105.83,103.28
20120213,BMO,20120213,103.6,102.08,114.65,110.1
20111027,NaN,20111028,57.67,56.43,55.66,55.3
20110729,NaN,20110801,52.63,53.06,52.66,52.3
20110728,BMO,20110728,53.52,52.65,52.63,53.06
20110503,BMO,20110503,51.04,53.71,51.11,48.0
20110217,BMO,20110217,37.11,37.7,37.67,37.48
20101109,NaN,20101110,26.1,25.84,25.69,25.8
20101028,BMO,20101028,26.9,27.02,26.96,26.11
20100810,NaN,20100811,24.71,24.51,23.72,23.82
20100728,BMO,20100728,25.2,24.61,24.18,23.81
20100429,BMO,20100429,24.43,24.62,27.0,25.53
20100225,NaN,20100226,24.85,24.34,24.46,25.37
20100218,BMO,20100218,28.74,30.46,26.66,26.29
20091110,NaN,20091111,15.68,15.8,18.95,18.99
20091103,BMO,20091103,15.7,15.39,15.96,15.05
20090804,BMO,20090804,21.48,21.35,21.81,21.75
20090430,BMO,20090430,12.84,13.48,13.26,13.85
20090226,BMO,20090226,17.39,17.25,15.4,14.25
20081104,NaN,20081105,19.88,19.77,18.34,17.61
20080731,NaN,20080801,20.12,21.89,21.68,21.61
20080501,BMO,20080501,20.0,19.62,21.23,21.02
20080227,BMO,20080227,17.63,18.66,18.9,20.03
20071106,BMO,20071106,21.0,20.28,19.68,18.85
20070801,BMO,20070801,15.38,14.89,14.16,13.66
20070502,BMO,20070502,27.2,27.76,28.6,28.35
20070301,BMO,20070301,19.92,19.84,19.22,18.68
20061106,NaN,20061107,20.78,23.22,24.24,22.98
20060803,BMO,20060803,13.21,13.59,13.96,14.0
20060503,BMO,20060503,14.21,14.51,15.34,15.17
20060223,NaN,20060224,15.12,15.04,16.0,17.5
20051102,BMO,20051102,12.51,12.01,12.11,12.98
20050804,BMO,20050804,10.17,9.95,9.75,9.41
20050428,BMO,20050428,5.7,5.75,5.38,5.57
20050222,BMO,20050222,6.57,6.39,6.46,6.4
20041028,BMO,20041028,7.08,7.17,7.21,7.27
20040726,AMC,20040727,7.62,7.51,7.98,8.25
20040426,AMC,20040427,13.59,15.3,14.06,13.75
20040223,AMC,20040224,14.2,14.01,13.85,14.3
20031029,BMO,20031029,13.46,13.46,13.25,13.32
20030801,BMO,20030801,14.82,15.4,14.56,13.91
20030505,BMO,20030505,6.33,6.56,6.53,6.8
20030130,NaN,20030131,20.5,19.09,18.73,18.85
20021031,BMO,20021031,15.16,15.24,15.13,15.79
20020730,BMO,20020730,13.6,14.99,17.23,17.2
20020429,BMO,20020429,20.51,19.97,19.25,20.65
20020131,AMC,20020201,26.15,24.8,25.86,23.5
20011022,BMO,20011022,22.57,22.34,22.56,21.65
20010731,NaN,20010801,26.73,26.87,29.27,27.57
20010501,NaN,20010502,31.01,31.08,30.6,29.8
20010125,NaN,20010126,37.125,36.6875,33.125,31.75
20001024,BMO,20001024,25.75,26.375,25.6875,25.625
20000727,NaN,20000728,28.125,26.5625,24.625,28.0625
20000503,NaN,20000504,27.5625,27.125,29.1875,30.25
20000204,NaN,20000207,12.875,13.125,13.0625,14.625
