Earning Date,EPS-a,EPS-e,Time,PPrev Close,Prev Close,Next Close,NNext Close
2015-05-05,,0.34,AMC,44.67,44.3,43.43,43.13
2014-11-05,0.59,0.76,AMC,63.2127,63.02386,51.64359,54.45635
2014-08-06,1.56,1.15,AMC,55.79013,55.42302,59.65962,60.26485
2014-05-07,0.8,1.02,AMC,61.32175,61.19305,52.07498,50.64935
2014-02-11,1.62,1.58,AMC,56.23187,56.77864,51.78523,53.30038
2013-11-06,0.91,0.61,AMC,50.53371,50.17862,50.38905,52.05268
2013-08-07,1.57,1.52,,39.62663,40.96501,41.8835,42.22466
2013-05-07,,0.87,AMC,35.7854,35.96855,34.51647,35.48453
2013-02-06,,0.89,AMC,30.7002,30.99364,30.47196,30.6089
2012-11-06,0.9,0.28,,25.88341,27.18927,26.81245,26.56557
2012-08-03,1.56,1.64,BMO,24.05761,24.23232,24.21937,23.61761
2012-08-02,1.56,1.64,AMC,24.05761,24.23232,24.21937,23.61761
2012-05-07,0.98,0.86,AMC,31.72511,32.05391,30.84188,30.57111
2012-02-08,1.17,0.97,AMC,27.75637,28.4376,27.53145,27.67925
2011-11-08,0.59,0.17,AMC,23.71624,24.45276,24.0813,26.3165
2011-08-03,2.42,1.72,AMC,24.94799,24.57135,23.09669,24.93523
2011-05-04,0.93,0.77,AMC,30.60517,30.21679,29.0071,29.58011
2011-02-08,1.39,0.87,AMC,25.95325,25.81987,28.38597,28.96398
2010-11-03,0.08,0.17,AMC,25.32558,23.95132,24.12231,23.09637
2010-08-04,1.36,1.17,AMC,21.64736,21.89379,22.91107,23.75144
2010-05-03,0.66,0.5,AMC,22.77638,23.31838,23.07889,22.8079
2010-02-08,0.88,0.44,AMC,17.2972,18.17714,18.07657,18.76796
2009-11-04,0.07,0.37,AMC,20.00222,18.78692,15.89277,16.32501
2009-08-05,0.87,0.98,AMC,19.59135,19.06016,17.47286,17.65408
2009-05-07,,-0.01,AMC,10.90433,12.25646,13.39674,13.02287
2009-05-06,0.27,-0.06,AMC,10.99156,10.90433,12.25646,13.39674
2009-02-06,-1.85,-1.23,BMO,10.30937,10.58181,10.5199,10.2103
2008-11-04,0.7,0.64,AMC,15.80442,14.3447,14.68345,14.00594
2008-08-06,2.48,2.19,AMC,28.25098,28.81636,27.44591,28.71189
2008-05-07,0.42,0.58,AMC,27.58347,28.07998,27.20344,26.24108
2008-02-06,1.28,1.09,AMC,28.06536,27.93075,28.68944,28.83016
2007-10-31,0.58,0.49,AMC,29.9719,30.32617,28.42659,28.12118
2007-08-01,1.4,0.92,AMC,26.14182,26.65405,28.5749,27.55045
2007-05-02,0.51,0.33,AMC,27.77071,28.16056,25.83974,26.19304
2007-02-08,0.76,0.67,AMC,27.18686,27.13817,24.71643,24.22965
2006-11-01,0.51,0.05,AMC,21.85009,20.40962,21.19367,20.59803
2006-07-28,0.66,0.71,BMO,22.21536,23.40504,23.15011,22.68881
2006-05-04,0.25,0.13,,37.00954,33.58992,33.40802,36.19405
2006-02-08,0.99,0.77,AMC,15.976,16.72998,16.6785,16.59372
2005-11-02,,0.01,,10.57778,11.24568,10.82862,10.6352
2005-08-02,0.68,,,12.01059,12.61021,11.83281,11.91416
2005-05-04,0.07,,,8.92445,8.92745,8.94549,8.75311
2005-02-09,,,,9.5542,9.49724,9.50324,8.75377
2004-11-03,,,AMC,7.46769,7.41689,6.97761,7.02244
2004-08-04,,,AMC,4.94444,4.92658,5.09327,5.09327
2004-05-05,,,AMC,5.5833,5.58626,5.39956,5.39066
2004-02-04,,,AMC,5.46111,5.48472,5.66775,5.60871
2003-10-22,,,AMC,4.71567,4.73037,4.78325,4.70392
2003-07-23,,,AMC,3.88954,3.86322,3.87785,3.87492
2003-04-28,,,AMC,3.69459,3.63641,3.41531,3.36877
2003-02-05,,,AMC,3.74389,3.75256,3.7381,3.72942
2002-10-24,,,,3.49587,3.42394,3.43545,3.44984
2002-07-25,,,,3.71555,3.66403,3.66403,3.62109
2002-04-23,,,AMC,2.96172,2.97596,2.9902,3.01867
2002-02-05,,,BMO,2.82976,2.82976,2.80147,2.81562
2001-10-25,,,BMO,2.61413,2.64224,2.54386,2.58321
2001-07-25,,,AMC,2.51057,2.50778,2.53846,2.51057
2001-04-25,,,,2.28406,2.22869,2.21485,2.09026
2001-01-31,,,AMC,2.33579,2.38731,2.33579,2.43884
2000-10-26,,,BMO,2.35139,2.26619,2.23212,2.31731
1999-10-27,,,AMC,2.30038,2.28383,2.18454,2.10179
