Earning Date,EPS-a,EPS-e,Time,PPrev Close,Prev Close,Next Close,NNext Close
2015-05-14,,0.71,AMC,75.79115,73.7812,74.42796,74.78618
2015-02-19,,1.35,AMC,77.30511,76.40379,80.95989,80.33591
2014-11-13,0.73,,AMC,71.84097,72.23544,73.14269,72.25516
2014-08-14,0.95,0.94,AMC,66.85985,67.4193,63.90553,64.89685
2014-05-15,0.72,0.67,AMC,60.44019,60.05927,68.90846,66.82802
2014-02-20,1.37,1.33,AMC,57.20181,57.74584,57.55154,56.9395
2013-11-14,0.69,0.66,AMC,61.27987,61.32821,60.71909,60.40969
2013-08-15,0.93,0.88,AMC,57.26161,57.05964,54.27061,54.10712
2013-05-16,,0.76,AMC,58.79325,58.49661,58.066,57.87461
2013-02-21,,1.34,AMC,52.48308,51.88355,51.37918,50.15156
2012-11-08,,0.72,AMC,54.20993,52.45817,51.88056,51.78587
2012-08-09,0.75,0.74,AMC,52.26122,51.91249,52.90211,52.79844
2012-05-10,0.7,0.75,AMC,50.54878,50.18316,47.77385,47.06136
2012-02-16,1.11,1.09,AMC,47.5718,48.67248,47.70239,49.24148
2011-11-10,,0.59,AMC,45.40393,46.0442,45.9143,45.5524
2011-08-11,0.8,0.74,AMC,37.05892,39.08082,40.88114,41.2412
2011-05-12,0.69,0.67,AMC,44.73509,45.16682,43.7522,42.46618
2011-02-17,1.04,1.0,AMC,42.67479,42.47375,42.86669,41.7153
2010-11-15,0.53,0.51,AMC,37.6593,38.05045,36.8861,37.67749
2010-08-12,,0.66,AMC,30.33448,30.21701,28.05736,27.217
2010-05-13,0.52,0.55,AMC,38.67983,37.11574,35.74041,35.28197
2010-02-22,0.77,0.79,AMC,31.94899,32.33381,32.3875,32.89089
2009-11-12,0.38,0.39,AMC,31.04975,30.738,30.27484,31.21898
2009-08-13,,0.48,AMC,26.05872,26.35987,24.68581,23.91521
2009-05-14,0.31,0.26,AMC,17.81963,18.41743,19.85038,20.18444
2009-02-23,0.31,0.3,AMC,10.3305,9.84395,11.89441,11.62188
2008-11-13,0.33,0.31,AMC,10.785,11.07556,10.03295,9.24673
2008-08-14,0.65,0.64,AMC,25.23491,25.68538,26.80731,26.30584
2008-05-15,0.54,0.49,AMC,30.57001,31.54276,32.51552,31.77115
2008-02-25,0.92,0.88,AMC,30.3249,31.15041,32.3971,32.62549
2007-11-19,0.59,0.52,AMC,27.27741,25.60771,28.70379,29.32469
2007-08-16,0.71,0.69,,38.61055,38.61055,39.33005,38.11694
2007-05-17,0.6,0.57,AMC,43.80032,44.36775,44.51795,43.97556
2007-02-26,0.89,0.9,AMC,48.46907,47.22991,43.64178,44.2092
2006-11-20,0.52,0.51,AMC,39.94252,39.45238,41.22188,41.96955
2006-08-17,0.67,0.65,,30.23882,30.23054,30.37962,29.79986
2006-05-18,0.48,0.45,,29.1678,29.31645,29.13477,28.56496
2006-02-23,,,,33.16856,33.04501,31.62873,31.29841
2005-11-17,,,,31.0896,31.61557,30.82661,30.74443
2005-08-16,,,,26.72218,25.50902,28.11567,27.90254
2005-05-17,,,AMC,22.73488,23.42554,23.9977,24.4922
2005-02-15,,,AMC,20.68868,21.01889,21.30425,21.8709
2004-11-16,,,AMC,18.69831,18.21053,18.52759,18.26744
2004-08-19,,,AMC,16.4457,16.4295,14.91455,14.75657
2004-05-20,,,AMC,15.05139,15.03928,16.11784,16.0936
2004-02-19,,,AMC,16.37487,16.02441,15.7384,15.61755
2003-11-20,,,AMC,12.25549,12.77752,14.02234,14.01431
2003-08-21,,,AMC,9.47044,9.59842,10.02635,9.89437
2003-05-19,,,AMC,6.42681,6.3075,6.8603,6.78872
2003-02-20,,,AMC,6.81995,6.78832,6.816,6.57483
2002-11-19,,,AMC,7.65505,7.52524,7.95401,7.86747
2002-08-14,,,AMC,6.74247,7.21597,8.06905,8.09253
2002-05-15,,,AMC,10.03959,10.28132,10.21504,10.16436
2002-02-21,,,AMC,9.75143,9.86022,9.74366,9.85245
2001-11-15,,,AMC,6.71408,6.89199,7.67711,7.76606
2001-08-16,,,AMC,8.29314,8.23924,8.01978,8.08524
2001-05-11,,,AMC,7.01152,7.01152,6.89658,6.88508
2001-02-22,,,AMC,7.42428,7.21074,7.20692,7.34102
2000-11-15,,,AMC,6.94481,6.8737,6.54187,6.58927
2000-08-16,,,AMC,6.74678,6.77037,6.60524,6.88832
2000-05-11,,,AMC,10.22323,10.01172,9.51818,9.54169
2000-02-17,,,AMC,7.3266,7.44364,7.86498,7.95861
1999-11-11,,,AMC,8.21433,8.09765,8.21433,8.37769
1999-08-12,,,AMC,10.82387,11.1032,11.68513,11.73168
1999-05-13,,,AMC,13.05016,13.21271,12.05166,12.4232
