Earning Date,EPS-a,EPS-e,Time,PPrev Close,Prev Close,Next Close,NNext Close
2015-05-05,,0.71,BMO,49.51765,50.05481,50.08465,49.67681
2015-02-03,1.0,0.93,BMO,46.10745,47.63019,48.21358,45.63283
2014-11-04,0.81,0.76,BMO,46.25877,46.50483,48.75872,49.51657
2014-08-05,0.77,0.75,BMO,45.61462,45.98682,47.56379,47.64215
2014-04-29,0.55,0.76,BMO,43.27496,43.236,42.11564,42.60275
2014-02-04,0.95,0.84,BMO,38.23594,37.6839,37.02533,37.44178
2013-10-29,0.46,0.48,BMO,38.49316,38.4064,39.26437,39.52466
2013-08-06,0.46,0.42,BMO,36.02996,36.30808,36.33685,36.21218
2013-05-01,,0.54,AMC,32.36682,32.02351,32.04258,32.61477
2013-02-05,,,BMO,27.17565,26.95764,27.84865,28.78705
2012-07-31,0.0,-0.01,BMO,25.74874,25.70199,24.39305,24.00972
2012-05-01,0.0,-0.01,BMO,28.90463,28.67213,30.70885,30.64375
2012-01-31,,-0.01,BMO,27.57591,27.47419,26.47546,26.99332
2011-11-01,0.0,-0.01,BMO,27.8919,26.60487,25.50169,26.23714
2011-08-02,0.0,-0.01,BMO,27.77072,27.86213,26.1436,27.09428
2011-05-03,-0.03,-0.02,BMO,33.67127,33.65308,31.38832,31.57932
2011-02-01,-0.01,-0.03,BMO,29.66654,29.58504,31.42335,31.99386
2010-11-02,-0.03,-0.01,BMO,30.02374,30.08682,28.10446,27.97831
2010-08-03,0.0,-0.01,BMO,24.53025,25.39095,25.54337,25.65096
2010-05-04,0.01,-0.01,BMO,24.91196,24.7158,23.37837,23.58344
2010-02-02,-0.02,-0.01,BMO,26.58731,26.75587,28.05995,27.66074
2009-11-03,0.0,-0.01,BMO,26.60323,26.95652,28.18423,28.4492
2009-08-04,0.0,-0.01,BMO,26.46554,26.70278,25.31448,25.27055
2009-05-05,0.01,,BMO,22.289,22.86566,20.82986,21.17935
2009-02-03,,-0.01,BMO,23.80561,23.90994,24.04036,22.20582
2008-11-04,-0.02,,BMO,17.93233,18.26105,21.04649,20.51016
2008-08-05,-0.04,0.01,BMO,24.23527,23.58119,22.26443,23.54676
2008-04-29,-0.02,,BMO,40.59398,40.68836,39.10957,37.80534
2008-02-04,-0.03,,BMO,37.6251,38.92547,37.81331,35.95687
2007-11-06,-0.01,,BMO,29.7116,29.4387,31.45984,31.10166
2007-07-30,0.01,,BMO,29.49336,28.94089,29.04289,28.55841
2007-05-01,-0.01,,BMO,33.04997,32.78733,31.00817,31.02512
2007-02-01,-0.02,,BMO,26.58266,27.02177,29.95194,29.78305
2006-10-31,,,BMO,33.15279,32.45387,32.42018,30.82865
2006-08-01,-0.02,,BMO,36.5581,36.96131,36.87731,36.00368
2006-05-02,-0.02,,BMO,30.45751,31.8488,35.11749,36.30763
2006-01-31,,,BMO,24.1184,24.00979,26.31554,25.22115
2005-10-28,-0.01,,BMO,19.65406,19.35438,20.22845,20.28672
2005-07-29,-0.07,,BMO,18.23847,18.52863,19.01776,17.95661
2005-04-29,,,BMO,17.79591,17.85369,14.84919,15.37745
2005-01-28,-0.04,,BMO,18.63102,18.74617,18.96827,19.90599
2004-10-29,-0.01,,BMO,14.1785,14.59648,15.87501,15.46522
2004-07-30,,,BMO,12.98623,13.09227,12.58652,13.16568
2004-04-30,,,BMO,13.83822,13.8301,14.26051,14.24427
2004-01-30,,,BMO,12.87112,12.68516,12.66091,12.81452
2003-10-31,,,BMO,10.86878,10.92514,11.55311,11.70608
2003-07-24,,,BMO,9.84298,9.92314,10.2678,10.5804
2003-04-23,,,BMO,9.08728,9.14307,9.11119,9.07133
2003-01-24,,,BMO,10.03364,9.99399,9.80362,9.75603
2002-10-23,,,BMO,10.4242,10.10832,10.44789,10.51897
2002-07-24,,,BMO,8.75345,8.78488,9.12276,9.13061
2002-04-23,,,BMO,11.01495,11.10889,11.20284,10.96798
2002-01-23,,,BMO,10.51374,10.64633,10.70092,10.63853
2001-10-22,,,AMC,9.50683,10.21421,9.91105,9.91105
2001-07-23,,,,10.21461,9.7721,9.65409,9.72047
2001-04-23,,,,8.56637,8.08148,8.23576,8.33861
2001-01-19,,,,10.25112,10.0223,10.11383,10.57147
2000-10-19,,,,7.01543,6.92432,7.01543,7.01543
2000-07-21,,,,6.81997,6.64732,6.69048,6.73364
2000-04-17,,,,7.13055,7.25941,6.91577,6.87281
2000-01-18,,,,8.55523,8.94021,9.15409,8.94021
1999-10-15,,,,8.64812,7.96649,8.22209,8.0943
1999-07-16,,,AMC,9.37926,9.37926,9.33883,9.25797
1999-04-16,,,,9.3899,9.67199,9.75259,9.67199
