Earning Date,EPS-a,EPS-e,Time,PPrev Close,Prev Close,Next Close,NNext Close
2015-04-27,,0.2,AMC,17.68,17.87,18.3,18.17
2015-02-05,0.24,0.28,AMC,16.48359,16.892689999999998,16.56342,16.56342
2014-10-27,0.29,0.27,AMC,16.61656,16.6066,17.83119,18.04026
2014-07-28,0.25,0.22,AMC,17.6193,17.70869,17.82787,17.72855
2014-04-28,0.19,0.16,AMC,19.32431,18.77927,17.76846,17.629720000000002
2014-02-06,,0.25,AMC,17.2991,17.5167,18.54535,17.81343
2013-10-28,0.24,0.22,AMC,17.82467,17.46937,18.52542,18.45634
2013-07-22,0.2,0.15,AMC,14.38698,14.55439,14.1408,14.219579999999999
2013-04-23,,0.14,AMC,10.10689,10.54888,10.85336,10.666739999999999
2013-01-28,,0.23,AMC,10.446,10.31873,9.98587,9.83902
2012-10-23,,0.23,AMC,8.0885,7.84457,7.84457,7.864089999999999
2012-07-23,0.0,0.23,AMC,9.061760000000001,8.6145,8.33254,8.49783
2012-04-24,0.0,0.19,AMC,10.179739999999999,10.50906,10.65434,10.62529
2012-01-25,,,AMC,9.63368,9.61437,9.45992,9.5468
2011-10-25,-0.01,0.01,AMC,9.80097,9.27197,9.069980000000001,9.42586
2011-07-25,0.01,,AMC,9.479619999999999,9.29751,9.67132,9.57547
2011-04-26,,,AMC,10.21283,10.33703,10.25105,10.30837
2011-01-26,,,AMC,10.689119999999999,11.32742,10.85108,10.66054
2010-10-26,,,AMC,9.87169,9.78618,10.0047,9.60565
2010-07-26,,,AMC,9.84988,10.06772,9.63205,9.03538
2010-04-27,,,AMC,10.20782,9.93397,10.32113,10.39668
2010-01-27,,,AMC,8.12434,7.926639999999999,7.23,7.1641
2009-10-27,,,AMC,7.25295,7.121589999999999,8.5384,8.63223
2009-07-27,,,AMC,8.5785,8.02655,7.998489999999999,8.138810000000001
2009-04-28,,,AMC,4.83103,5.2964400000000005,5.892180000000001,5.65016
2009-01-28,,,AMC,4.726369999999999,4.7171400000000006,5.04023,4.74484
2008-10-28,,,AMC,8.66956,9.5604,6.68585,6.20829
2008-07-29,,,,10.80189,11.44322,11.86467,11.782210000000001
2008-04-29,,,AMC,9.77406,9.7832,10.27647,10.51397
2008-01-30,,,AMC,8.871319999999999,8.74381,9.65462,9.836789999999999
2007-10-23,,,AMC,12.27816,12.21459,11.197460000000001,11.1793
2007-07-30,,,AMC,11.38953,11.55263,11.543569999999999,11.815389999999999
2007-05-23,,,AMC,12.248610000000001,12.20341,11.082510000000001,10.98307
2007-04-30,0.2,0.17,AMC,11.95934,11.82375,11.986460000000001,11.751430000000001
2006-10-24,,0.17,AMC,13.21631,12.8832,12.73915,13.288329999999998
2006-07-26,0.19,0.18,AMC,12.765889999999999,12.846739999999999,12.10109,12.846739999999999
2006-04-25,0.2,0.12,AMC,11.9491,12.10149,12.72897,12.451089999999999
2006-01-31,,0.2,AMC,11.054089999999999,11.00938,11.29557,11.00043
2005-10-25,0.16,0.15,AMC,10.95302,10.640839999999999,10.70328,10.37326
2005-07-27,,0.17,AMC,11.574489999999999,11.62787,11.129660000000001,10.97841
2005-04-26,0.09,0.12,AMC,10.3116,10.080869999999999,9.61943,9.29996
2005-01-27,,,AMC,10.48293,10.562610000000001,11.27092,11.78444
2004-10-18,,,AMC,11.31626,11.395769999999999,11.96997,11.76679
2004-07-20,,,AMC,9.1396,9.51858,9.91518,10.16196
2004-04-20,,,AMC,12.35014,11.849110000000001,12.429260000000001,12.46442
2004-01-26,,,AMC,13.76675,13.79305,12.73205,12.4953
2003-10-22,,,AMC,12.331430000000001,12.2877,10.69598,9.99633
2003-07-23,,,AMC,9.634030000000001,9.59039,9.1628,9.73002
2003-04-22,,,AMC,6.586,6.672999999999999,6.6295,6.742610000000001
2003-01-27,,,AMC,6.414569999999999,6.3712800000000005,6.36263,6.14621
2002-10-21,,,AMC,3.88995,4.15733,4.91634,5.20097
2002-07-23,,,AMC,7.93215,7.03175,6.731610000000001,6.9374199999999995
2002-04-23,,,BMO,15.591270000000002,14.924170000000002,15.3689,14.949829999999999
2002-01-28,,,AMC,13.27333,13.10262,12.80386,12.88922
2001-10-18,,,BMO,15.113760000000001,14.909289999999999,14.45775,14.508870000000002
2001-07-19,,,,17.26012,17.60872,17.60022,17.94032
2001-04-18,,,BMO,17.70027,17.40314,19.525479999999998,20.331970000000002
2001-01-23,,,BMO,38.5762,39.00011,38.25826,38.73516
2000-10-25,,,BMO,32.02948,31.658890000000003,31.50007,33.88243
2000-07-26,,,BMO,36.56035,37.88308,38.46508,36.93071
2000-04-25,,,AMC,44.576,51.18573,49.49364,50.97422
2000-01-26,,,,66.7498,63.73734,67.01405,62.046130000000005
1999-10-27,,,BMO,40.625479999999996,39.9387,41.68206,44.27068
1999-07-28,,,,30.83557,32.9476,33.634009999999996,34.690020000000004
1999-04-28,,,BMO,22.34092,22.71019,23.448729999999998,22.78932
