Earning Date,EPS-a,EPS-e,Time,PPrev Close,Prev Close,Next Close,NNext Close
2015-05-13,,2.97,BMO,209.23,207.92999,208.2,207.61
2015-01-22,3.09,3.08,BMO,205.21147,208.72098,208.88095,207.82111
2014-10-23,3.24,3.29,BMO,230.87852,226.13978999999998,224.00035,223.41051000000002
2014-07-24,3.02,3.35,BMO,256.59979,249.93237000000002,236.11777,232.76907000000003
2014-05-08,3.27,3.2,BMO,254.81107000000003,254.87103,253.98148999999998,255.15089
2014-01-23,2.95,3.04,BMO,270.14218,270.52194,260.9379,255.30141
2013-10-24,2.9,2.82,BMO,242.23116000000002,245.97839,256.24081,254.62201000000002
2013-07-25,2.88,2.9,BMO,235.53304,233.05518999999998,230.49745,224.80246
2013-05-09,,2.76,BMO,193.32298,191.82451,206.46957,209.75623
2013-01-24,,2.48,BMO,186.07089,186.06091,190.9951,191.26478999999998
2012-10-25,,,BMO,161.49315,161.71284,166.95581,169.96178
2012-07-26,,,BMO,160.68413999999999,159.77553999999998,156.71022,157.94833
2012-05-17,,,BMO,166.47371,165.3756,166.25406999999998,167.19247
2012-01-26,,,BMO,173.75957,175.9454,166.02428,166.20393
2011-10-27,,,BMO,170.90329,172.27045,166.12328,161.58275
2011-07-28,,,,155.69505,158.76805,161.01294,160.39433
2011-05-12,,,BMO,157.58972,155.81412,157.04108,154.76671000000002
2011-01-27,,,BMO,143.40358,144.26126000000002,144.14158999999998,140.60112
2010-10-21,,,BMO,127.83768,129.5826,134.91705,139.11484
2010-07-22,,,BMO,109.38233000000001,110.88753999999999,115.63246000000001,118.79241999999999
2010-05-06,,,BMO,123.49485,122.15945,120.08658999999999,116.59858999999999
2010-01-21,,,BMO,113.68941000000001,112.88241000000001,106.95433,103.90561
2009-10-20,,,BMO,102.10356,104.30479,98.71704,100.02184
2009-07-21,,,BMO,73.13446,76.15145,77.03763000000001,76.97787
2009-05-05,1.87,1.88,BMO,76.18460999999999,77.03066,75.38832,79.01142
2009-01-20,1.69,1.7,BMO,54.3937,55.05024,58.02459,61.635580000000004
2008-10-21,1.89,1.91,BMO,57.68642,62.14066999999999,58.33268,54.95223000000001
2008-07-22,1.95,1.93,BMO,100.00244,102.9048,101.96054000000001,98.32264
2008-05-06,1.89,1.87,BMO,120.64506999999999,119.24395,127.39228999999999,124.52049
2008-01-22,1.73,1.72,BMO,107.27923999999999,115.23653,106.19641999999999,107.00108999999999
2007-10-23,1.67,1.64,BMO,141.54346999999999,140.7191,146.21161,149.0224
2007-07-24,1.61,1.43,,134.40166000000002,131.07513,135.11661999999998,131.74043
2007-05-09,1.44,1.26,,110.19473,109.60902,107.67316000000001,110.10538999999999
2007-01-23,1.15,0.98,BMO,80.39614,79.89001,84.80249,85.9537
2006-10-24,1.03,0.91,,64.66086999999999,67.70642,67.31953,66.71439000000001
2006-07-25,0.86,0.74,,54.2171,61.09835,59.47223,58.75832
2006-05-09,0.74,0.7,BMO,64.6828,65.94138000000001,64.6729,66.64499
2006-01-17,0.67,0.62,,52.35488,50.22542,48.78928,49.75992
2005-10-18,0.6,0.59,BMO,50.305240000000005,51.63167,49.34507,49.66183
2005-07-19,0.57,0.53,BMO,40.06289,39.67696,43.120670000000004,44.9019
2005-05-03,0.02,,BMO,36.43188,36.911640000000006,36.88691,36.5951
2005-01-18,-0.03,,BMO,32.49672,33.21359,34.30621,33.871140000000004
2004-10-12,-0.03,,BMO,30.356759999999998,30.50995,30.771859999999997,30.14426
2004-07-13,-0.03,,,26.71994,27.65835,27.21384,27.124940000000002
2004-04-27,-0.01,,BMO,22.458029999999997,22.2606,22.88745,22.9763
2004-01-13,-0.01,,,23.31626,23.02524,23.57769,23.94763
2003-11-05,-0.01,,AMC,20.03122,20.1643,20.415670000000002,20.27274
2003-10-22,-0.01,,,19.68619,19.74041,19.622120000000002,19.4496
2003-10-14,-0.01,,,18.803910000000002,19.42003,19.65662,20.10022
2003-07-30,-0.01,,AMC,15.55751,15.606760000000001,15.88255,15.39499
2003-07-15,-0.03,,BMO,16.10417,16.251910000000002,15.779129999999999,15.66094
2003-04-29,-0.07,,,13.7165,13.42131,13.623029999999998,13.39671
2003-04-24,-0.03,,AMC,13.982170000000002,13.706660000000001,13.465589999999999,13.7165
2003-02-12,-0.07,,AMC,12.02805,11.84625,11.78238,12.11158
2003-01-14,-0.04,,BMO,13.280970000000002,13.099169999999999,13.816529999999998,13.276060000000001
2002-10-29,-0.04,,AMC,8.81402,9.1281,9.42256,9.52561
2002-10-15,-0.02,,BMO,8.63734,8.65207,8.701139999999999,8.63734
2002-07-18,-0.02,,AMC,13.217789999999999,12.85512,12.38953,11.84553
2002-07-16,-0.02,,BMO,13.8059,13.48734,13.53635,13.217789999999999
2002-04-30,,,BMO,16.261960000000002,16.3452,17.31965,17.97091
2002-04-18,-0.02,,AMC,17.280479999999997,16.99157,16.99157,16.70266
2002-02-13,,,AMC,13.60055,13.76689,13.82071,13.96747
2002-01-15,,,BMO,13.03305,12.86182,13.297229999999999,12.891169999999999
2001-10-18,,,AMC,11.16141,10.97082,10.83888,10.76558
2001-07-19,,,AMC,18.94116,19.27835,19.107310000000002,18.82388
2001-05-03,,,BMO,18.49362,18.845229999999997,19.55821,19.953770000000002
2001-04-23,,,,17.09207,16.95045,17.17997,17.35577
2001-02-01,,,AMC,17.85468,17.73757,17.352079999999997,17.23497
2001-01-18,,,BMO,16.377370000000003,15.9504,16.46886,16.98732
2000-10-19,,,BMO,17.1866,17.03424,17.1866,17.55227
2000-10-13,,,BMO,16.91235,16.57714,16.881870000000003,18.40551
2000-07-20,,,BMO,10.991810000000001,11.25062,13.001389999999999,13.07751
2000-07-19,,,BMO,10.991810000000001,10.991810000000001,11.25062,13.001389999999999
2000-05-04,,,,10.0354,11.02373,10.94771,10.93251
2000-04-19,,,,9.77692,9.85294,9.97458,10.15704
2000-02-08,,,,6.31064,6.3258,6.06792,6.02241
2000-01-13,,,BMO,6.65955,6.6292,6.614039999999999,6.6292
1999-10-18,,,,7.31085,7.189760000000001,7.20489,7.12922
1999-10-14,,,BMO,7.47735,7.09893,7.68925,7.31085
1999-07-16,,,BMO,10.2602,10.2602,10.290410000000001,10.18464
1999-07-15,,,BMO,10.275310000000001,10.2602,10.2602,10.290410000000001
