Earning Date,EPS-a,EPS-e,Time,PPrev Close,Prev Close,Next Close,NNext Close
2015-01-29,0.23,0.28,BMO,76.3548,73.97306999999999,70.47522,72.20919
2014-10-30,0.31,0.28,BMO,65.70963,62.541819999999994,59.22506,56.752390000000005
2014-08-07,0.26,0.29,BMO,76.07844,76.316,77.56319,78.50352
2014-05-01,0.31,0.23,BMO,65.82977,65.34608,63.48046,65.92846999999999
2014-01-30,0.16,0.24,BMO,54.316590000000005,54.72979,52.78183000000001,55.034769999999995
2013-11-07,,0.23,BMO,47.620290000000004,47.78676,45.5639,46.758559999999996
2013-08-08,0.16,0.27,BMO,46.91793,47.09348,51.33569,53.003319999999995
2013-05-02,,0.4,BMO,53.95619,52.25731,52.27673,52.733000000000004
2013-01-31,,0.43,BMO,74.39604,73.21516,72.27625,72.19881
2012-11-01,,0.41,BMO,81.92801999999999,85.13368,85.04678,81.91835999999999
2012-08-09,0.34,0.44,BMO,76.35574,75.96047,74.02265,72.78862
2012-05-03,0.44,0.45,BMO,59.409330000000004,58.726130000000005,56.926719999999996,58.764619999999994
2012-02-02,0.42,0.48,BMO,73.08362,74.25495,73.57327,70.55853
2011-11-03,0.43,0.42,BMO,69.30456,70.36798,75.12944,75.96294
2011-08-11,0.39,0.4,BMO,62.833259999999996,65.78888,65.8941,65.32976
2011-05-05,0.35,0.39,BMO,56.49875,55.935480000000005,54.570269999999994,55.28629
2011-02-03,0.33,0.29,BMO,45.87145,45.27126,46.32873,45.32842
2010-11-04,0.21,0.25,BMO,47.60017,47.84734,48.96913,49.111740000000005
2010-08-12,0.21,0.24,BMO,44.137370000000004,43.39717,44.032990000000005,43.4636
2010-05-06,0.2,0.25,BMO,46.59422,46.15849,47.67406,46.508959999999995
2010-02-04,0.23,0.19,BMO,41.370059999999995,41.08645,39.583290000000005,41.96566
2009-11-05,0.17,0.16,BMO,45.09418,45.13193,44.735620000000004,47.84003
2009-08-13,,0.14,BMO,38.63758,38.760040000000004,39.06145,37.874629999999996
2009-05-07,0.12,0.11,BMO,35.61353,37.01437,37.31523,37.51266
2009-02-05,0.03,0.17,BMO,43.54912,43.314479999999996,43.27694,43.154920000000004
2008-11-04,0.17,0.23,BMO,27.0137,26.901259999999997,28.59723,29.00951
2008-08-14,0.24,0.28,BMO,29.972379999999998,32.272909999999996,30.8608,30.03785
2008-05-01,0.12,0.26,BMO,26.0145,26.397070000000003,25.71592,25.5013
2008-01-31,0.13,0.27,BMO,28.344959999999997,28.42874,27.981920000000002,27.739890000000003
2007-11-01,0.2,0.23,BMO,31.530520000000003,32.821459999999995,30.59249,30.39746
2007-08-16,0.2,0.16,BMO,26.174039999999998,25.6272,26.980390000000003,27.79601
2007-05-03,0.14,0.22,BMO,26.761429999999997,27.1959,27.24212,27.29758
2007-02-01,0.24,0.19,BMO,29.29608,29.711170000000003,30.20005,29.94177
2006-11-02,0.21,0.22,BMO,27.107,26.637420000000002,26.591379999999997,26.839979999999997
2006-08-17,0.15,0.17,BMO,26.62475,27.20355,26.3032,26.248070000000002
2006-05-04,0.08,0.16,BMO,29.288559999999997,29.444440000000004,28.0873,29.187690000000003
2006-02-02,0.12,0.17,BMO,35.73493,35.57013,33.839690000000004,33.235409999999995
2005-11-03,,0.14,,21.64851,21.44738,20.880570000000002,20.469170000000002
2005-08-18,,,BMO,20.16536,19.76388,19.30765,20.72196
2005-05-05,,,BMO,17.16471,17.792679999999997,17.67437,17.28302
2005-02-09,,,BMO,14.06768,14.37626,14.103979999999998,14.86636
2004-11-04,,,BMO,14.279229999999998,14.387820000000001,14.42401,15.012189999999999
2004-08-12,,,BMO,12.03471,11.809000000000001,11.77289,12.14305
2004-05-06,,,BMO,11.66823,11.029000000000002,10.56983,10.2097
2004-02-05,,,BMO,14.99395,14.562729999999998,14.85021,15.60485
2003-11-06,,,BMO,17.819110000000002,17.2362,16.74297,17.15549
2003-08-12,,,,21.83671,21.065479999999997,21.495929999999998,21.19999
2003-05-08,,,,15.003979999999999,15.56763,15.63026,16.34601
2003-02-13,,,BMO,23.261979999999998,22.59096,23.333560000000002,23.03831
2002-11-07,,,BMO,16.83972,17.24152,17.71475,17.7326
2002-08-15,,,BMO,12.59854,11.83066,12.330680000000001,12.09853
2002-05-09,,,,8.255510000000001,8.69936,9.0278,9.85335
2002-02-15,,,BMO,6.42687,6.32035,6.34698,5.95639
2001-11-08,,,,4.96218,4.87341,4.97106,4.92668
2001-08-09,,,BMO,4.30529,4.21652,4.35855,4.6603699999999995
2001-05-10,,,BMO,2.57718,2.6648400000000003,2.64731,2.62101
2001-02-08,,,BMO,2.3832400000000002,2.3010599999999997,2.3010599999999997,2.3010599999999997
2000-11-09,,,BMO,2.46542,2.46542,2.52021,2.62978
