Earning Date,EPS-a,EPS-e,Time,PPrev Close,Prev Close,Next Close,NNext Close
2015-04-28,,0.79,AMC,61.01,61.66,62.01,60.94
2015-02-24,,0.83,AMC,65.03129,65.20015,64.45518,63.670469999999995
2014-10-28,1.52,1.35,AMC,60.088809999999995,60.96739,60.59226999999999,61.757130000000004
2014-07-31,1.08,0.83,AMC,54.71519,53.7539,54.87214,54.76424
2014-04-29,0.9,0.82,AMC,55.56915,55.26693,55.1402,55.27669
2014-02-25,0.79,0.65,AMC,49.87598,49.624190000000006,50.36022,50.42801
2013-10-29,1.46,1.21,AMC,47.30129,47.19558,47.04181,47.11869
2013-08-01,0.79,0.66,AMC,47.55932,47.60703,47.10138,46.50987
2013-04-30,,0.65,AMC,51.12593,50.95544,49.67682,49.752590000000005
2013-02-26,,1.04,AMC,43.23053,43.39047,44.44419,45.18743
2012-11-01,,1.0,AMC,43.81075,43.614670000000004,43.59599,42.97039
2012-07-31,0.32,0.28,AMC,43.31451,42.81387,41.64571,41.72915
2012-05-02,0.35,0.49,,40.74948,40.19719,40.24321,40.28003
2012-02-29,0.75,0.46,AMC,38.360690000000005,38.251059999999995,39.082409999999996,39.109809999999996
2011-11-02,1.3,1.23,BMO,36.79959,36.25575,36.27388,37.27998
2011-08-04,0.54,0.5,BMO,33.2794,33.14459,31.499940000000002,31.499940000000002
2011-05-02,0.62,0.63,BMO,35.17154,35.00219,34.98437,35.02002
2011-02-28,0.58,0.6,BMO,31.62677,31.81229,32.79289,32.8724
2010-10-29,1.46,1.18,BMO,31.464909999999996,31.51748,32.332359999999994,32.455040000000004
2010-08-05,0.62,0.68,BMO,29.311659999999996,29.35507,29.26825,29.52004
2010-05-07,0.82,0.78,BMO,28.95174,28.057479999999998,28.40142,29.14951
2010-03-01,0.59,0.41,BMO,27.8914,27.797690000000003,28.3855,28.30883
2009-11-06,1.09,1.04,BMO,26.776040000000002,27.172909999999998,28.02576,28.59995
2009-08-07,0.78,0.52,BMO,26.106170000000002,26.18984,26.608209999999996,26.62495
2009-05-08,0.79,0.67,BMO,24.69949,24.682920000000003,25.08063,24.73264
2009-03-02,0.66,0.64,,22.31643,20.824289999999998,20.36518,20.33238
2008-11-07,1.46,1.54,BMO,28.490029999999997,26.93972,28.59555,27.572840000000003
2008-08-08,0.79,0.75,,37.4165,37.60177,37.4165,36.175990000000006
2008-05-08,,0.92,,40.994479999999996,41.34685,41.4029,42.10764
2008-02-27,0.65,0.58,BMO,41.042,41.67072,40.62815,40.11085
2007-11-02,1.41,1.3,BMO,46.02131,44.660059999999994,45.44356,45.94216
2007-08-09,0.73,0.62,,44.33044,41.54305,41.842259999999996,43.21233
2007-05-09,0.9,0.64,,43.092890000000004,43.9466,43.46883,44.4087
2007-02-28,0.65,0.51,,36.46607,36.59845,37.050090000000004,36.83984
2006-11-03,1.32,1.24,,34.77421,34.29446,34.54207,34.8129
2006-08-08,0.55,0.59,,32.02272,32.114979999999996,32.75313,32.65318
2006-05-08,0.56,0.63,BMO,30.41334,31.37545,30.657690000000002,30.375159999999997
2006-03-07,0.71,0.46,,32.91995,32.87443,32.50267,31.94882
2005-11-04,1.24,1.1,,32.49621,32.48114,32.42836,32.39066
2005-08-09,0.55,0.51,,30.121679999999998,29.9942,30.856540000000003,31.126479999999997
2005-05-09,0.64,0.34,BMO,27.079420000000002,27.1912,28.167370000000002,27.77988
2005-03-11,,,,25.0772,24.83309,25.040210000000002,24.81829
2004-11-05,,,,22.753079999999997,22.62096,23.046670000000002,22.95859
2004-07-30,,,,18.84488,19.52234,18.976,19.25281
2004-05-07,,,,16.73884,16.26182,15.878770000000001,15.99441
2004-02-26,,,BMO,15.9022,16.33935,16.55435,16.547179999999997
2003-11-05,,,BMO,14.273060000000001,13.974820000000001,14.16655,14.09554
2003-08-05,,,BMO,11.47526,11.7877,11.54627,11.71669
2003-05-07,,,BMO,10.76516,10.83617,10.55923,10.651539999999999
2003-02-25,,,BMO,8.37921,8.50703,8.798169999999999,8.776869999999999
2002-11-01,,,BMO,7.12943,7.1365300000000005,7.356660000000001,7.78983
2002-08-06,,,BMO,8.208789999999999,7.6336,8.36501,8.45022
2002-05-03,,,BMO,12.88836,12.95937,13.072989999999999,13.371229999999999
2002-02-15,,,BMO,10.89297,10.83617,10.75095,10.70125
2001-10-19,,,BMO,10.78646,11.00659,11.31904,11.29063
2001-07-20,,,BMO,10.26098,10.43851,10.11186,9.7071
2000-10-20,,,BMO,14.64587,14.91216,15.17844,15.799779999999998
2000-07-21,,,,13.4781,13.653139999999999,13.609379999999998,13.653139999999999
2000-04-20,,,,12.30583,12.39218,13.039860000000001,13.12621
2000-01-18,,,BMO,18.84708,18.67729,18.3377,18.50749
1999-10-13,,,BMO,16.30016,16.59424,17.35043,18.148629999999997
1999-07-16,,,BMO,17.40701,17.44855,17.40701,17.28238
1999-04-15,,,,15.059520000000001,15.224110000000001,15.676720000000001,15.8413
