EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150507,BMO,20150507,40.59,40.37,40.4,40.39
20150225,BMO,20150225,42.68827,42.55958,42.698170000000005,42.10418
20141106,BMO,20141106,41.57793,42.55855,41.59754,42.470290000000006
20140805,BMO,20140805,37.49514,37.233000000000004,36.32038,35.90291
20140508,BMO,20140508,38.75752,39.38217,38.72868,37.77729
20140221,BMO,20140221,36.409040000000005,36.92279,38.89213,38.911159999999995
20131107,BMO,20131107,34.05225,34.46626,34.118109999999994,34.25925
20130801,BMO,20130801,33.567,33.288129999999995,33.74362,34.087559999999996
20130502,NaN,20130503,32.9986,33.053740000000005,33.58671,33.12725
20130220,BMO,20130220,30.084659999999996,30.18455,30.38433,30.130059999999997
20121109,BMO,20121109,28.12122,28.219759999999997,27.19848,26.75054
20120802,BMO,20120802,30.277420000000003,30.029609999999998,29.799490000000002,30.39248
20120504,NaN,20120507,28.35675,28.30429,28.146890000000003,28.33052
20120223,BMO,20120223,27.396990000000002,27.491970000000002,27.73374,27.83735
20111104,BMO,20111104,27.01685,27.24711,27.537059999999997,28.01463
20110804,BMO,20110804,23.84518,24.03035,22.71731,23.24758
20110505,BMO,20110505,24.55095,24.26026,23.986179999999997,24.16059
20110222,BMO,20110222,23.55678,23.66325,22.66398,22.23805
20101029,BMO,20101029,23.101010000000002,23.11717,23.42432,23.31925
20100805,BMO,20100805,20.82092,20.860789999999998,21.56253,21.69012
20100505,BMO,20100505,20.22137,20.11936,20.00166,19.35037
20100218,BMO,20100218,19.39558,19.63522,19.82075,19.82848
20091030,BMO,20091030,19.042920000000002,19.302,18.5476,18.34948
20090806,BMO,20090806,19.25098,19.34862,19.70164,19.83684
20090501,BMO,20090501,16.895870000000002,17.014129999999998,17.7015,17.871489999999998
20090213,AMC,20090217,23.42744,23.21704,19.18308,19.29916
20081104,BMO,20081104,23.0999,22.87923,23.89719,22.971770000000003
20080801,BMO,20080801,28.62433,28.785459999999997,27.454420000000002,27.34934
20080502,BMO,20080502,31.31451,31.97725,32.964459999999995,32.232690000000005
20080214,BMO,20080214,30.141540000000003,30.23675,29.92391,29.985120000000002
20071109,BMO,20071109,35.5659,36.076679999999996,35.48526,35.10218
20070802,BMO,20070802,31.84265,33.05052,32.52622,31.55064
20070510,AMC,20070511,35.70172,35.22307,35.64926,35.57058
20070215,BMO,20070215,35.32738,35.54757,34.64739,34.653859999999995
20061103,BMO,20061103,34.75152,34.45067,34.44427,34.38026
20060803,BMO,20060803,32.90317,32.801970000000004,32.25801,32.28331
20060504,BMO,20060504,31.140790000000003,31.01588,31.01588,31.49679
20060214,BMO,20060214,31.26195,31.20645,30.83025,30.86725
20051101,BMO,20051101,31.727559999999997,32.0505,31.46555,31.53258
20050728,BMO,20050728,32.96927,33.288540000000005,33.72227,33.5054
20050428,BMO,20050428,30.39623,30.586759999999998,30.384320000000002,30.78325
20050208,BMO,20050208,29.69448,29.700359999999996,29.700359999999996,29.976779999999998
20041022,BMO,20041022,26.840059999999998,26.79942,27.287,27.78039
20040729,BMO,20040729,24.82106,25.13598,25.25049,25.58831
20040429,BMO,20040429,24.79801,24.72464,24.600479999999997,24.67385
20040210,BMO,20040210,25.77394,25.95216,26.06354,26.1248
20031024,BMO,20031024,24.217489999999998,24.1516,24.40964,24.48102
20030730,BMO,20030730,22.96392,22.83409,22.688029999999998,22.59065
20030430,BMO,20030430,21.93179,21.84646,21.857120000000002,21.68112
20030211,BMO,20030211,20.166539999999998,20.439420000000002,19.977629999999998,19.91466
20021018,BMO,20021018,21.05044,21.36038,21.07626,21.44303
20020725,BMO,20020725,18.604689999999998,20.23356,21.24142,20.97673
20020422,NaN,20020423,21.35154,21.33148,21.486929999999997,21.42676
20020205,NaN,20020206,21.320420000000002,21.03878,20.97455,20.90043
20011024,NaN,20011025,19.362679999999997,19.23132,19.5816,19.31403
20010724,NaN,20010725,18.49105,18.059910000000002,18.51501,18.82159
20010423,NaN,20010424,19.62491,19.82319,19.70988,19.79014
20010206,BMO,20010206,18.67485,18.69345,18.60044,18.7632
20001023,AMC,20001024,17.44727,17.475920000000002,17.50457,17.36133
20000725,BMO,20000725,16.39307,16.19556,16.30842,16.08975
20000419,NaN,20000420,14.73964,14.684220000000002,15.0167,15.4877
20000203,BMO,20000203,14.109679999999999,14.109679999999999,14.272179999999999,13.83886
19991015,NaN,19991018,15.89691,15.551329999999998,15.684239999999999,15.52474
19990727,NaN,19990728,16.56103,16.63952,16.48254,16.2994
19990420,NaN,19990421,15.40003,15.91508,16.04384,15.863579999999999
