EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150428,BMO,20150428,42.24778,41.93079,39.276070000000004,38.14682
20150129,BMO,20150129,36.13458,35.82993,38.267070000000004,36.54732
20141028,BMO,20141028,35.00888,35.18407,33.09152,32.89686
20140805,BMO,20140805,32.50208,33.0904,34.527429999999995,33.852309999999996
20140429,BMO,20140429,47.64667,48.2205,43.715959999999995,42.70221
20140122,BMO,20140122,49.91618,49.90668,46.89613,46.86764
20131022,BMO,20131022,50.85504,51.147690000000004,47.29603,45.83278
20130730,BMO,20130730,55.51429,54.26668000000001,49.998509999999996,49.839040000000004
20130423,BMO,20130423,47.75142,47.18251,51.80843,52.489259999999994
20130123,BMO,20130123,57.29232,56.25402,47.04831,47.18737
20121023,BMO,20121023,51.64461,49.95693,53.627390000000005,52.972609999999996
20120731,BMO,20120731,56.969440000000006,55.575019999999995,45.25447,45.713159999999995
20120424,BMO,20120424,69.11474,68.61239,65.64394,65.85401
20120124,BMO,20120124,59.0407,58.494369999999996,61.89076,63.1018
20111025,BMO,20111025,54.927130000000005,56.85058000000001,55.85256,56.596540000000005
20110802,BMO,20110802,58.34,58.999669999999995,55.1501,55.95435
20110426,BMO,20110426,51.90784,51.39461,51.54768,52.34003
20110125,BMO,20110125,47.58941,47.921640000000004,47.67022,48.52324
20101026,BMO,20101026,39.89608,39.8334,44.57973,44.50809
20100803,BMO,20100803,32.97582,34.278079999999996,33.091770000000004,35.05408
20100420,BMO,20100420,37.60395,37.221779999999995,37.355090000000004,38.25275
20100120,BMO,20100120,32.63068,33.21607,31.353479999999998,30.2448
20091020,BMO,20091020,30.19029,30.544320000000003,29.570729999999998,29.33176
20090728,BMO,20090728,25.87296,25.09615,24.76071,25.50221
20090421,BMO,20090421,16.99063,16.04867,18.41679,20.071839999999998
20090121,BMO,20090121,14.96584,13.971060000000001,12.95866,12.71216
20081021,BMO,20081021,15.934220000000002,16.4008,17.9326,16.52405
20080729,NaN,20080730,23.223470000000002,22.888939999999998,22.67766,22.45757
20080422,BMO,20080422,28.919290000000004,28.61117,27.9069,29.49152
20080123,BMO,20080123,22.17586,24.20065,25.69724,27.237840000000002
20071023,NaN,20071024,36.50786,32.22058,32.04452,30.97049
20070731,BMO,20070731,40.10846,42.14206,40.02043,41.7371
20070424,BMO,20070424,47.35369,46.96634,44.24608,44.67745
20070123,NaN,20070124,38.71752,38.6559,39.4394,38.57666
20061024,NaN,20061025,31.98289,34.51828,35.169740000000004,34.90563
20060801,BMO,20060801,24.77287,25.27467,25.97014,25.82048
20060425,BMO,20060425,30.873659999999997,30.9881,28.9281,28.81365
20060124,BMO,20060124,27.95092,28.23263,30.715190000000003,31.10255
20051025,BMO,20051025,28.399890000000003,27.510740000000002,28.36468,28.514329999999998
20050802,BMO,20050802,30.90887,31.29622,30.59195,31.199379999999998
20050426,BMO,20050426,22.67766,23.17065,24.43834,24.552789999999998
20050125,BMO,20050125,23.65484,23.249879999999997,24.05099,23.69005
20041026,BMO,20041026,18.37718,18.363970000000002,19.614060000000002,20.15987
20040803,BMO,20040803,18.83496,18.945,17.6553,16.77935
20040420,BMO,20040420,17.54085,17.386789999999998,18.21431,18.62807
20040121,BMO,20040121,16.07508,15.824179999999998,15.714139999999999,15.8682
20031021,BMO,20031021,13.8346,13.839,14.90862,14.70174
20030729,BMO,20030729,11.82742,12.186160000000001,11.92866,11.73938
20030422,BMO,20030422,8.39188,8.473310000000001,9.36246,9.39547
20030122,BMO,20030122,6.6598,6.41991,7.148389999999999,7.185810000000001
20021022,BMO,20021022,6.41771,6.4749300000000005,6.47053,6.99653
20020730,BMO,20020730,4.81988,5.440519999999999,5.176419999999999,5.0179599999999995
20020423,BMO,20020423,6.09858,5.92581,6.22843,6.16461
20020123,BMO,20020123,4.6493199999999995,4.64711,4.73185,4.88921
20011023,BMO,20011023,2.99317,3.0757,3.31229,3.22316
20010730,AMC,20010731,4.26967,4.313680000000001,4.15632,4.00556
20010423,AMC,20010424,2.59591,2.6410299999999998,2.9293400000000003,3.24847
20010122,AMC,20010123,3.3425599999999998,3.4113300000000004,3.4113300000000004,3.3838199999999996
20001030,AMC,20001031,2.14584,2.36592,2.57226,2.55162
