Earning Date,EPS-a,EPS-e,Time,PPrev Close,Prev Close,Next Close,NNext Close
2015-05-21,,2.48,BMO,152.94,149.89999,157.5,160.2
2015-02-12,,1.48,BMO,162.83483999999999,162.32504,151.35943999999998,150.09995
2014-11-06,1.89,1.87,BMO,148.32478,149.25406,145.44702,141.7399
2014-08-14,2.08,2.01,BMO,124.55798999999999,122.78016000000001,131.4296,131.30975
2014-05-15,2.25,2.16,BMO,123.20031999999999,122.93077,124.01893000000001,121.46327
2014-02-06,0.94,0.78,BMO,110.01025,110.50916000000001,124.58848,124.72816999999999
2013-10-31,1.48,1.42,BMO,100.02653000000001,99.72734,98.90958,99.63759
2013-08-08,1.59,1.48,BMO,82.89093000000001,82.00402,81.36625,82.88096
2013-05-23,,1.62,BMO,86.81474,85.44053000000001,83.72774,83.04063000000001
2013-02-07,,0.75,BMO,72.90834,72.54018,76.75924,78.51056
2012-11-08,,1.21,BMO,79.97708,79.30099,78.94306,77.95876
2012-08-09,1.34,1.39,BMO,70.19109,70.10168,67.46927,68.14475999999999
2012-05-17,1.79,1.81,BMO,80.47176,81.48411,67.65861,66.17979
2012-02-16,0.9,0.75,BMO,79.1181,78.75112,85.19801,84.8707
2011-11-09,1.41,1.18,AMC,67.07844,65.77036,68.88199,69.64503
2011-08-10,1.46,1.38,AMC,51.34147,49.599059999999994,53.74717,54.61837
2011-05-18,1.35,1.38,AMC,68.95257,69.88223,62.79115,62.57357
2011-02-09,0.57,0.54,AMC,64.12637,65.21325999999999,64.47219,64.5216
2010-11-10,1.03,0.93,AMC,65.16507,65.86598000000001,65.49084,63.70401
2010-08-11,1.16,1.03,AMC,52.31716,51.19291,53.865469999999995,53.51044
2010-05-19,1.19,1.0,AMC,45.064209999999996,45.39911,48.25564,48.72844
2010-02-17,0.39,0.46,AMC,41.933659999999996,42.17958,39.494170000000004,39.34662
2009-11-11,0.69,0.66,AMC,38.3076,39.56487,38.0031,38.55316
2009-08-12,0.89,0.84,AMC,44.36088,44.753190000000004,42.43854,42.32085
2009-05-20,1.02,0.92,AMC,42.485440000000004,42.00555,41.888020000000004,42.113279999999996
2009-02-18,0.51,0.37,AMC,31.428990000000002,31.90815,36.181470000000004,36.09346
2008-10-29,0.59,0.57,AMC,25.81514,24.88794,26.42026,30.45113
2008-08-06,0.79,0.72,AMC,41.9242,40.95942,42.976690000000005,42.976690000000005
2008-05-15,0.86,0.78,AMC,33.59175,33.70852,37.77612,38.048590000000004
2008-02-13,0.35,0.37,AMC,34.08336,34.4136,33.02463,32.694379999999995
2007-10-31,0.61,0.58,AMC,33.2245,33.08873,34.00032,33.72878
2007-08-08,0.64,0.66,AMC,32.74158,31.40558,29.3435,30.78599
2007-05-17,,0.71,,39.16111,39.97314,39.944140000000004,40.253479999999996
2007-02-15,,0.33,BMO,36.19532,35.73202,37.40183,37.30531
2006-11-02,0.56,0.53,BMO,33.74471,33.2051,34.9781,34.689029999999995
2006-08-10,0.59,0.58,BMO,28.479020000000002,27.84423,28.64252,27.834609999999998
2006-05-18,0.68,0.69,BMO,37.13263,36.68132,36.77734,37.49752
2006-02-16,,0.36,BMO,42.66863,42.102909999999994,40.022220000000004,39.98386
2005-11-03,,0.55,BMO,35.95671,37.10732,38.21,37.86481
2005-08-10,0.6,0.58,AMC,43.78089,44.464859999999994,42.189209999999996,41.96548
2005-05-18,0.63,0.58,AMC,35.02982,35.26634,37.3758,38.00224
2005-02-16,,,AMC,28.605559999999997,28.452140000000004,33.11213,32.42816
2004-11-03,,,AMC,24.86606,25.20486,25.95275,26.56002
2004-08-11,,,AMC,22.55844,21.97034,21.47814,21.19049
2004-05-19,,,AMC,26.85407,27.295140000000004,26.64313,26.83489
2004-02-18,,,AMC,27.16729,26.860459999999996,25.2496,25.581999999999997
2003-10-29,,,AMC,25.09618,24.99391,25.38383,25.0003
2003-08-06,,,AMC,21.76579,21.25441,21.13296,21.90643
2003-05-14,,,AMC,16.90125,16.68391,18.69749,19.33672
2003-02-12,,,AMC,12.67913,12.38828,12.64078,12.88049
2002-11-18,,,AMC,17.20169,16.74784,16.92362,17.03549
2002-08-14,,,AMC,15.98396,16.01272,16.25243,16.5241
2002-05-23,,,BMO,19.033079999999998,19.202479999999998,18.870079999999998,18.985139999999998
2002-02-20,,,BMO,14.25484,14.22287,14.12699,14.184520000000001
