Earning Date,EPS-a,EPS-e,Time,PPrev Close,Prev Close,Next Close,NNext Close
2015-04-30,,,BMO,44.3,44.03,44.0,44.98
2015-02-11,,,BMO,50.2542,50.542840000000005,50.95093,51.79696
2014-10-30,0.56,0.59,BMO,42.74797,42.282779999999995,42.856840000000005,43.85651
2014-07-31,0.7,0.72,BMO,46.472390000000004,46.4527,45.3992,45.33027
2014-05-06,0.54,0.58,BMO,48.91372,48.698190000000004,47.66957,47.757740000000005
2014-02-11,0.36,0.44,BMO,45.272290000000005,45.632909999999995,46.744,46.7635
2013-11-05,0.51,0.56,BMO,44.69453,45.30532,44.64606,44.93691
2013-07-16,1.12,1.13,BMO,54.134119999999996,54.16307,52.2235,52.36824
2013-03-28,,0.88,BMO,56.442840000000004,56.39479,57.28858,56.95221
2013-01-04,,0.93,BMO,55.0438,54.33554,56.1062,56.19234
2012-10-02,1.01,1.15,BMO,54.87834,55.25937,53.11606,52.28731
2012-07-17,1.19,1.17,BMO,52.11071,52.51857,55.212309999999995,55.155409999999996
2012-03-28,0.72,0.76,AMC,55.43176999999999,55.09112,52.299659999999996,52.31858
2012-01-04,1.4,1.28,AMC,49.71947,49.4453,50.39072,49.79511
2011-09-28,1.17,1.27,AMC,57.00719,54.02223000000001,51.19785,46.257540000000006
2011-07-18,1.45,1.38,AMC,63.00853000000001,62.734790000000004,64.65100000000001,65.09466
2011-03-30,1.21,1.08,AMC,74.38181999999999,75.89115,74.28748,75.81569
2011-01-04,1.02,0.91,AMC,71.88476999999999,70.70634,72.71439000000001,73.17635
2010-10-04,,0.72,AMC,56.16797,55.386030000000005,57.27965,57.47749
2010-07-22,,0.86,AMC,42.19042,42.30335,44.04442,43.47034
2010-03-31,,0.63,AMC,56.45884,57.135780000000004,54.8417,54.52203000000001
2010-01-05,,0.37,AMC,57.96801,59.32069,61.59394,61.77242
2009-10-05,,0.33,AMC,42.21515,42.01404,43.77834,44.098290000000006
2009-07-22,,0.1,AMC,44.871140000000004,44.22268,46.99003,48.81666
