Earning Date,EPS-a,EPS-e,Time,PPrev Close,Prev Close,Next Close,NNext Close
2015-05-04,,0.7,AMC,56.75,57.12,55.38,56.45
2015-02-05,0.72,0.69,AMC,60.293369999999996,60.333090000000006,57.65206,57.125780000000006
2014-10-30,0.48,0.47,AMC,53.7267,53.746430000000004,55.17664,55.70927
2014-07-31,0.58,0.64,AMC,54.400859999999994,53.0406,53.00145,53.98985
2014-04-28,,0.63,AMC,48.544290000000004,48.7094,48.553999999999995,48.76768
2014-02-03,,0.66,AMC,45.247009999999996,44.72638,44.36,43.97435
2013-10-28,0.73,0.71,AMC,43.62941,43.22738,42.98808,44.19416
2013-07-29,0.87,0.73,AMC,46.18608,45.549490000000006,44.61835,44.2003
2013-04-29,0.74,0.7,AMC,46.56397,46.941390000000006,46.63945,46.10163
2013-02-04,0.71,0.65,AMC,45.043079999999996,45.014920000000004,45.38097,46.0286
2012-07-30,0.71,0.58,AMC,47.02825,47.39987,47.985170000000004,47.63213
2012-05-07,0.64,0.53,AMC,45.0712,45.625690000000006,45.96763,46.25412
2012-02-06,0.53,0.4,AMC,42.47423,42.09713,41.82121,41.74762
2011-10-31,0.52,0.44,AMC,36.87028,37.59323,36.98924,37.10821
2011-08-01,0.54,0.42,AMC,38.57029,38.40655,37.906220000000005,37.233059999999995
2011-05-02,0.37,0.35,AMC,36.74657,37.46159,37.10861,36.76468
2011-02-08,0.43,0.33,AMC,33.346940000000004,33.33794,33.85111,34.1302
2010-11-01,,0.31,AMC,27.25388,27.63887,28.444670000000002,28.67745
2010-08-02,,0.29,AMC,22.65084,23.08643,23.54869,23.73538
2010-05-03,,0.27,AMC,22.70756,23.650760000000002,24.29426,24.59398
2010-02-08,,0.14,AMC,15.983670000000002,15.512020000000001,15.564429999999998,15.145179999999998
2009-11-02,,0.25,AMC,14.25707,14.265720000000002,14.231129999999999,13.91988
2009-08-03,,0.28,AMC,12.10834,12.057030000000001,13.177229999999998,13.76725
2009-05-04,,0.26,AMC,9.968580000000001,11.04718,11.58647,11.999369999999999
