Earning Date,EPS-a,EPS-e,Time,PPrev Close,Prev Close,Next Close,NNext Close
2015-03-03,,0.69,AMC,38.66,38.12,35.47,34.91
2014-11-06,0.86,0.59,AMC,32.45293,32.68663,32.76955,32.92031
2014-08-07,0.83,0.53,AMC,25.59296,25.6005,25.47989,26.07542
2014-05-12,0.6,0.52,AMC,33.59877,34.1717,31.63878,29.85217
2014-03-13,1.0,0.73,AMC,33.52339,33.21432,33.06355,33.15401
2013-11-12,0.8,0.71,AMC,24.1682,23.9722,23.24097,22.97713
2013-08-12,0.85,0.78,AMC,25.389429999999997,25.977420000000002,25.615579999999998,25.336660000000002
2013-05-13,,0.78,AMC,18.340999999999998,18.092229999999997,17.858539999999998,18.062070000000002
2013-03-12,,0.5,AMC,14.549170000000002,14.715010000000001,17.52685,18.21284
2012-11-13,,0.47,AMC,14.05163,14.08932,14.84317,14.730089999999999
2012-08-13,0.93,,AMC,13.0264,12.8681,12.72487,12.67964
