Earning Date,EPS-a,EPS-e,Time,PPrev Close,Prev Close,Next Close,NNext Close
2015-04-29,,0.95,AMC,73.43,72.29,70.99,70.78
2015-01-28,0.78,0.72,AMC,74.99271,74.59456999999999,75.91843,73.8082
2014-10-28,0.69,0.67,AMC,65.10495,65.24361,65.41199,65.85771
2014-07-28,0.72,0.69,AMC,61.87118,61.80226,61.64473,61.4675
2014-04-30,0.66,0.64,AMC,58.02785,58.32156,58.74255,59.13417
2014-02-03,0.67,0.64,AMC,51.38268,50.39006,51.78167,51.98603
2013-10-29,0.69,0.63,BMO,52.032270000000004,51.69403,52.225559999999994,51.59738
2013-07-30,0.69,0.62,,51.3457,51.17295,50.232409999999994,50.587509999999995
2013-04-30,,0.62,AMC,52.59426,53.938190000000006,53.270990000000005,53.757090000000005
2013-01-30,0.64,0.62,AMC,47.611709999999995,47.31821,47.242470000000004,47.43182
2012-10-31,0.57,0.58,BMO,42.60729,42.13743,41.73335,41.930690000000006
2012-08-02,0.55,0.57,,44.02459,43.94066,44.53748,44.77994
2012-05-01,0.49,0.57,BMO,44.112770000000005,43.9184,44.68662,44.918009999999995
2012-01-30,0.66,0.6,AMC,38.434329999999996,38.31491,38.24142,38.2506
2011-11-02,,0.56,,31.98677,32.95165,33.607040000000005,33.98936
2011-07-26,0.52,0.55,,37.29833,36.08267,34.867,34.74994
2011-05-03,0.55,0.57,,37.11103,36.736259999999994,36.88796,36.896879999999996
2011-02-01,0.54,0.52,BMO,33.20032,33.72198,33.96954,34.500040000000006
2010-10-26,,0.53,,30.677020000000002,30.71205,30.38803,29.92388
2010-08-02,,0.52,AMC,29.096629999999998,29.58186,28.68938,28.810679999999998
2010-04-29,,0.57,,30.41075,30.942159999999998,30.050759999999997,30.8136
2010-01-25,,0.42,AMC,26.04317,25.57706,25.01772,24.8228
2009-10-27,,0.59,,22.042189999999998,22.48638,22.00866,23.44182
2009-07-27,,0.7,AMC,17.687479999999997,17.70403,18.44067,18.93727
