Earning Date,EPS-a,EPS-e,Time,PPrev Close,Prev Close,Next Close,NNext Close
2015-04-21,,0.37,BMO,18.91,18.99,19.41,19.75
2015-01-21,0.43,0.42,BMO,18.17538,17.956879999999998,17.41062,17.78804
2014-10-16,,0.43,BMO,18.9982,18.33696,17.50795,17.89285
2014-07-17,0.49,0.45,BMO,21.3281,21.13198,19.88662,20.053320000000003
2014-04-17,0.36,0.41,BMO,21.081879999999998,21.296310000000002,20.41911,20.19494
2014-01-23,,0.43,BMO,21.15735,21.25431,20.86646,20.67253
2013-10-17,0.4,0.42,BMO,17.47915,17.73945,18.28899,18.58786
2013-07-18,0.43,0.44,BMO,18.06364,18.18815,18.14984,18.21689
2013-04-18,,0.39,BMO,15.36426,15.03129,15.14545,15.6021
2013-01-17,,0.41,BMO,14.56163,14.69392,15.39318,15.478229999999998
2012-10-18,0.4,0.38,BMO,14.08058,14.20261,14.193220000000002,14.09936
2012-07-19,0.4,0.35,BMO,12.9828,12.8429,12.87088,12.72165
2012-04-19,0.36,0.37,BMO,13.30993,13.12455,12.725999999999999,12.929910000000001
2012-01-20,0.34,0.36,BMO,12.671710000000001,12.49661,12.137189999999999,12.34915
2011-10-20,0.4,0.33,BMO,10.26608,9.76239,10.65071,10.678180000000001
2011-07-21,0.35,0.27,BMO,11.08718,11.20532,11.5961,11.641539999999999
2011-04-21,0.27,0.26,BMO,12.08272,12.04654,11.90184,11.68478
2011-01-20,0.33,0.25,BMO,13.38142,13.1563,12.8051,13.14729
2011-01-19,0.33,0.24,AMC,13.38142,13.1563,12.8051,13.14729
2010-10-21,0.22,0.17,BMO,11.14077,11.15877,11.51873,11.57272
2010-07-22,0.16,0.02,BMO,10.59193,10.14236,11.194360000000001,11.0505
2010-04-22,-0.09,-0.18,BMO,13.2974,13.61186,13.44115,13.58491
2010-01-21,-0.2,-0.31,BMO,10.22585,10.15403,10.79146,10.86329
2009-10-22,-0.2,-0.17,BMO,9.48911,9.06757,9.68643,9.27386
2009-07-23,1.15,-0.34,BMO,6.06562,6.28065,7.17661,7.606669999999999
2009-04-23,-0.04,-0.27,BMO,3.5428900000000003,3.30133,3.41764,3.3192199999999996
2009-01-22,-3.82,0.01,BMO,3.7597699999999996,3.5548599999999997,2.53918,2.5926400000000003
2008-10-21,-0.14,0.18,BMO,10.89109,10.88219,10.899980000000001,10.50848
2008-07-22,-0.37,,BMO,11.930530000000001,11.807080000000001,13.18266,12.91813
2008-04-22,0.55,0.48,BMO,18.20433,16.84009,18.18695,17.29194
2008-01-22,0.07,0.27,BMO,19.6694,19.25199,20.044220000000003,21.43275
2007-10-19,0.61,0.68,BMO,25.97045,25.53482,25.10756,25.048920000000003
2007-07-19,0.69,0.67,BMO,33.64427,33.197340000000004,32.73385,32.022059999999996
2007-04-19,,0.65,BMO,32.03687,32.46283,32.79868,32.89697
2007-01-18,0.12,0.07,BMO,32.70346,32.128009999999996,32.33874,32.08749
2006-10-19,0.68,0.67,BMO,31.47089,31.527070000000002,31.454829999999998,31.59931
2006-07-20,0.69,0.66,BMO,29.16497,29.94355,30.022990000000004,30.10244
2006-04-18,0.65,0.64,BMO,30.935570000000002,30.896290000000004,32.184940000000005,31.7292
2006-01-17,0.6,0.63,BMO,30.1995,30.30068,29.919290000000004,29.779190000000003
2005-10-18,,0.71,BMO,28.15145,28.59842,29.8931,29.51548
2005-07-14,0.75,0.74,BMO,32.8126,33.132940000000005,32.26343,32.202420000000004
2005-04-14,,0.73,BMO,32.84668,32.589529999999996,31.08447,30.978590000000004
2005-01-18,,,BMO,33.393840000000004,33.38633,35.38157,35.01402
2004-10-14,,,BMO,37.28488,37.03175,36.41381,36.30213
2004-07-15,,,BMO,39.45295,39.926320000000004,37.352340000000005,37.11565
2004-05-05,,,AMC,39.33487,39.53338,39.01137,37.893809999999995
2004-04-15,,,BMO,40.452420000000004,39.96717,39.31281,40.209790000000005
2004-01-30,,,AMC,42.47103,42.20787,42.50758,42.63185
2004-01-15,,,BMO,43.41402,42.675709999999995,42.36869,41.63038
2003-10-30,,,AMC,41.5902,42.13572,42.31028,42.37575
2003-10-14,,,BMO,43.059459999999994,43.64135,42.37575,41.4811
2003-07-25,,,AMC,39.79258,40.88527,40.37872,39.96625
2003-07-15,,,BMO,40.92868,41.71021,41.99966,40.69712
2003-04-15,,,BMO,35.043479999999995,35.95791,35.99392,35.10109
2003-01-15,,,BMO,43.76538,44.2812,42.568979999999996,41.45138
2002-10-15,,,BMO,43.80923,44.40125,46.35561,45.877720000000004
2002-07-16,,,BMO,45.1945,44.54105,45.54253,46.34513
2002-04-16,,,BMO,49.082679999999996,48.58725,48.57309,48.76419
2002-01-15,,,BMO,42.78588,42.405,43.69577,43.52649
2001-10-16,,,BMO,39.12849,39.30418,38.594409999999996,37.73004
2001-07-16,,,BMO,42.96301,44.00645,42.31173,43.96443
2001-04-16,,,BMO,35.86462,35.97631,35.620309999999996,35.59937
2001-01-16,,,BMO,39.15736,38.33162,39.23342,40.026559999999996
2000-10-16,,,BMO,34.05773,36.61423,37.437509999999996,36.527570000000004
2000-07-14,,,BMO,31.34592,31.00051,32.065529999999995,30.8278
2000-04-14,,,BMO,29.494040000000002,29.035429999999998,27.08636,28.40485
2000-01-14,,,BMO,29.004609999999996,29.830070000000003,30.228559999999998,29.60235
1999-10-15,,,BMO,29.0209,28.510270000000002,27.4039,26.97837
1999-07-15,,,BMO,29.511670000000002,29.66708,30.59947,30.62773
1999-04-15,,,BMO,30.249609999999997,30.700259999999997,31.54522,31.09457
